sale_id,product_id,channel,region,quantity,discount_pct,returned_flag,date,customer_id
SALE-0000036,SKU-02995,Online,North,8,0.08,0,2025-03-21,CUST-001675
SALE-0000037,SKU-04534,Online,West,1,0.46,0,2025-03-11,CUST-001520
SALE-0000038,SKU-01501,Online,South,7,0.37,0,2025-05-29,CUST-006225
SALE-0000039,SKU-02443,Online,East,4,0.33,0,2024-08-17,CUST-001585
SALE-0000040,SKU-01726,Online,East,7,0.43,0,2024-09-09,CUST-005882
SALE-0000041,SKU-09758,Online,East,7,0.18,0,2024-09-13,CUST-005636
SALE-0000042,SKU-07342,Online,North,3,0.27,0,2024-12-03,CUST-009892
SALE-0000043,SKU-09936,Online,East,7,0.22,0,2024-08-06,CUST-004334
SALE-0000044,SKU-00326,Retail,South,5,0.25,0,2024-08-11,CUST-000712
SALE-0000045,SKU-04418,Online,North,3,0.03,0,2024-12-10,CUST-007528
SALE-0000046,SKU-02667,Wholesale,North,2,0.1,0,2024-08-20,CUST-008786
SALE-0000047,SKU-09402,Online,North,7,0.32,0,2025-04-23,CUST-002046
SALE-0000048,SKU-04362,Retail,South,3,0.45,0,2025-03-21,CUST-006202
SALE-0000049,SKU-07153,Online,North,3,0.45,0,2025-01-16,CUST-001292
SALE-0000050,SKU-00842,Online,South,5,0.38,0,2025-01-29,CUST-009045
SALE-0000051,SKU-04779,Online,East,5,0.4,0,2025-04-21,CUST-004804
SALE-0000052,SKU-02072,Online,North,2,0.18,0,2024-11-19,CUST-005926
SALE-0000053,SKU-01285,Online,West,7,0.03,0,2024-09-30,CUST-009460
SALE-0000054,SKU-01379,Online,North,8,0.42,0,2024-09-30,CUST-003151
SALE-0000055,SKU-06340,Online,West,2,0.43,0,2025-04-13,CUST-001140
SALE-0000056,SKU-02659,Online,South,4,0.29,0,2025-06-29,CUST-000751
SALE-0000057,SKU-03562,Wholesale,West,6,0.08,0,2024-09-24,CUST-003734
SALE-0000058,SKU-06008,Online,East,1,0.43,0,2024-09-15,CUST-004742
SALE-0000059,SKU-05453,Retail,West,2,0.18,0,2024-12-11,CUST-001308
SALE-0000060,SKU-04013,Online,South,7,0.17,0,2025-06-22,CUST-003815
SALE-0000061,SKU-01979,Online,North,9,0.4,0,2024-12-02,CUST-001655
SALE-0000062,SKU-04417,Online,North,5,0.39,0,2024-12-12,CUST-006228
SALE-0000063,SKU-05497,Wholesale,East,4,0.4,0,2025-01-05,CUST-004555
SALE-0000064,SKU-07875,Retail,North,1,0.34,0,2025-03-16,CUST-007429
SALE-0000065,SKU-02225,Online,North,3,0.25,0,2025-01-27,CUST-005978
SALE-0000066,SKU-07090,Online,North,2,0.49,0,2024-11-20,CUST-002665
SALE-0000067,SKU-00954,Online,West,5,0.27,0,2024-12-17,CUST-006066
SALE-0000068,SKU-06935,Online,East,7,0.44,0,2025-02-09,CUST-005821
SALE-0000069,SKU-05918,Retail,West,6,0.38,1,2024-10-22,CUST-003433
SALE-0000070,SKU-08262,Online,West,8,0.06,0,2025-01-29,CUST-004375
SALE-0000071,SKU-09287,Online,East,9,0.5,0,2024-12-23,CUST-001170
SALE-0000072,SKU-05743,Online,West,4,0.46,0,2024-11-24,CUST-009981
SALE-0000073,SKU-04254,Online,West,5,0.28,0,2025-06-13,CUST-002804
SALE-0000074,SKU-00549,Online,North,3,0.46,0,2025-05-18,CUST-008752
SALE-0000075,SKU-01840,Online,North,5,0.16,0,2025-03-25,CUST-004011
SALE-0000076,SKU-01952,Retail,East,7,0.34,1,2024-11-30,CUST-002678
SALE-0000077,SKU-09251,Online,West,8,0.22,0,2025-03-09,CUST-007574
SALE-0000078,SKU-02508,Retail,West,6,0.37,0,2024-12-10,CUST-006217
SALE-0000079,SKU-09075,Online,North,4,0.2,0,2025-02-18,CUST-004423
SALE-0000080,SKU-06351,Retail,North,8,0.03,0,2025-01-16,CUST-009126
SALE-0000081,SKU-07604,Wholesale,West,8,0.01,1,2024-07-12,CUST-003599
SALE-0000082,SKU-02626,Online,West,1,0.45,0,2025-07-01,CUST-005314
SALE-0000083,SKU-05894,Online,North,6,0.04,0,2025-05-07,CUST-000917
SALE-0000084,SKU-07401,Online,South,9,0.12,0,2024-07-28,CUST-003753
SALE-0000085,SKU-02154,Online,South,3,0.08,0,2024-11-11,CUST-000526
SALE-0000086,SKU-04762,Online,West,2,0.22,0,2024-10-19,CUST-005169
SALE-0000087,SKU-07186,Wholesale,South,6,0.44,0,2025-02-06,CUST-006573
SALE-0000088,SKU-03567,Retail,East,2,0.14,0,2025-03-06,CUST-004387
SALE-0000089,SKU-00260,Online,South,7,0.22,0,2025-06-29,CUST-001085
SALE-0000090,SKU-09701,Retail,West,8,0.49,0,2024-10-19,CUST-003457
SALE-0000091,SKU-08505,Retail,South,5,0.22,0,2024-09-03,CUST-009293
SALE-0000092,SKU-01845,Online,West,7,0.36,0,2025-04-05,CUST-005156
SALE-0000093,SKU-07270,Online,West,5,0.12,0,2024-11-29,CUST-003484
SALE-0000094,SKU-01534,Online,East,9,0.35,0,2024-08-04,CUST-008180
SALE-0000095,SKU-05597,Online,North,7,0.12,0,2024-07-22,CUST-006483
SALE-0000096,SKU-04770,Online,South,1,0.49,0,2025-05-02,CUST-007518
SALE-0000097,SKU-09616,Online,East,5,0.15,1,2025-04-21,CUST-002341
SALE-0000098,SKU-02021,Online,West,6,0.26,0,2025-03-14,CUST-004340
SALE-0000099,SKU-06359,Online,South,8,0.19,0,2025-02-08,CUST-002288
SALE-0000100,SKU-05503,Online,South,7,0.03,0,2024-11-18,CUST-004041
SALE-0000101,SKU-05244,Online,South,5,0.46,0,2024-07-23,CUST-009198
SALE-0000102,SKU-01692,Retail,North,8,0.34,0,2025-06-19,CUST-008831
SALE-0000103,SKU-09921,Online,South,9,0.44,0,2024-07-29,CUST-004305
SALE-0000104,SKU-08520,Retail,South,2,0.22,0,2024-07-26,CUST-009578
SALE-0000105,SKU-01589,Wholesale,North,1,0.46,0,2025-02-22,CUST-007020
SALE-0000106,SKU-03754,Online,South,9,0.4,0,2024-08-16,CUST-009561
SALE-0000107,SKU-00098,Wholesale,West,1,0.36,0,2024-11-16,CUST-006544
SALE-0000108,SKU-04755,Online,South,9,0.14,1,2025-02-20,CUST-005931
SALE-0000109,SKU-06174,Online,East,8,0.25,0,2025-07-03,CUST-003594
SALE-0000110,SKU-09290,Retail,South,2,0.29,0,2024-07-30,CUST-002267
SALE-0000111,SKU-08053,Online,East,6,0.07,0,2025-02-21,CUST-008349
SALE-0000112,SKU-05019,Online,South,8,0.38,0,2025-02-26,CUST-008086
SALE-0000113,SKU-05705,Retail,East,4,0.02,0,2024-11-27,CUST-001490
SALE-0000114,SKU-07912,Online,West,1,0.16,0,2025-06-02,CUST-000772
SALE-0000115,SKU-08277,Wholesale,East,3,0.34,0,2024-08-29,CUST-001797
SALE-0000116,SKU-01278,Wholesale,North,8,0.4,0,2025-06-07,CUST-002505
SALE-0000117,SKU-00519,Online,North,8,0.06,0,2024-11-17,CUST-002622
SALE-0000118,SKU-05427,Retail,West,6,0.01,1,2025-03-17,CUST-006917
SALE-0000119,SKU-07816,Wholesale,South,4,0.34,0,2024-11-21,CUST-009772
SALE-0000120,SKU-00184,Wholesale,North,4,0.25,0,2024-12-27,CUST-001041
SALE-0000121,SKU-09165,Online,East,6,0.33,0,2024-07-29,CUST-006305
SALE-0000122,SKU-02389,Online,South,2,0.32,0,2025-02-25,CUST-006253
SALE-0000123,SKU-04323,Online,West,5,0.5,0,2025-01-24,CUST-009764
SALE-0000124,SKU-04933,Retail,West,5,0.33,0,2025-06-20,CUST-007669
SALE-0000125,SKU-03828,Online,East,9,0.31,0,2024-08-19,CUST-008670
SALE-0000126,SKU-02498,Online,North,7,0.32,0,2024-08-05,CUST-004120
SALE-0000127,SKU-03480,Online,North,6,0.33,0,2025-07-07,CUST-009065
SALE-0000128,SKU-08758,Online,East,3,0.21,0,2025-03-02,CUST-000189
SALE-0000129,SKU-01936,Online,North,8,0.48,0,2024-10-30,CUST-001877
SALE-0000130,SKU-06276,Online,West,5,0.48,0,2025-03-15,CUST-008798
SALE-0000131,SKU-09019,Online,West,3,0.06,0,2024-07-31,CUST-004372
SALE-0000132,SKU-00350,Retail,West,6,0.42,0,2025-04-30,CUST-005574
SALE-0000133,SKU-00099,Online,North,3,0.47,0,2024-12-27,CUST-001828
SALE-0000134,SKU-01770,Online,East,7,0.14,0,2025-01-25,CUST-004809
SALE-0000135,SKU-01805,Retail,North,8,0.14,1,2024-11-06,CUST-007124
SALE-0000136,SKU-09253,Online,South,3,0.0,0,2025-03-13,CUST-002592
SALE-0000137,SKU-08113,Online,West,8,0.04,0,2024-11-11,CUST-007434
SALE-0000138,SKU-04171,Retail,North,8,0.1,0,2024-08-12,CUST-000054
SALE-0000139,SKU-00402,Online,South,6,0.38,0,2024-08-16,CUST-004316
SALE-0000140,SKU-08380,Retail,North,5,0.31,0,2025-06-30,CUST-008202
SALE-0000141,SKU-08331,Wholesale,West,3,0.35,0,2025-03-05,CUST-002928
SALE-0000142,SKU-00143,Online,North,5,0.19,0,2024-11-13,CUST-008318
SALE-0000143,SKU-00221,Online,East,5,0.39,0,2024-08-17,CUST-001744
SALE-0000144,SKU-04241,Retail,North,8,0.08,0,2024-11-05,CUST-004890
SALE-0000145,SKU-07002,Online,South,7,0.03,0,2025-02-05,CUST-008318
SALE-0000146,SKU-00388,Wholesale,West,6,0.45,0,2024-09-30,CUST-009978
SALE-0000147,SKU-05992,Wholesale,North,4,0.23,0,2025-04-22,CUST-003259
SALE-0000148,SKU-00560,Online,South,1,0.18,0,2024-10-15,CUST-002505
SALE-0000149,SKU-01840,Online,South,7,0.29,0,2024-12-15,CUST-006127
SALE-0000150,SKU-01772,Online,West,3,0.29,0,2025-06-09,CUST-002647
SALE-0000151,SKU-08557,Online,North,9,0.2,0,2025-03-08,CUST-008838
SALE-0000152,SKU-08609,Online,North,9,0.12,0,2025-02-27,CUST-008690
SALE-0000153,SKU-07677,Online,East,4,0.13,0,2025-04-30,CUST-000010
SALE-0000154,SKU-09828,Online,West,8,0.2,0,2024-07-13,CUST-009814
SALE-0000155,SKU-02069,Online,West,9,0.43,0,2024-11-18,CUST-005311
SALE-0000156,SKU-06758,Online,South,9,0.48,0,2025-02-13,CUST-008006
SALE-0000157,SKU-00517,Online,South,1,0.38,0,2025-01-16,CUST-000320
SALE-0000158,SKU-09413,Online,West,1,0.35,0,2024-10-24,CUST-001833
SALE-0000159,SKU-00661,Online,South,7,0.46,0,2024-12-20,CUST-005948
SALE-0000160,SKU-03417,Retail,East,9,0.05,0,2025-05-26,CUST-005039
SALE-0000161,SKU-08522,Retail,South,9,0.3,1,2025-06-08,CUST-003924
SALE-0000162,SKU-00378,Online,South,2,0.09,0,2025-02-01,CUST-000950
SALE-0000163,SKU-00160,Online,South,5,0.25,0,2025-06-19,CUST-003947
SALE-0000164,SKU-09456,Retail,South,2,0.14,0,2025-04-26,CUST-009296
SALE-0000165,SKU-04175,Retail,East,4,0.07,0,2025-02-04,CUST-001291
SALE-0000166,SKU-02200,Wholesale,South,8,0.45,0,2025-01-23,CUST-001404
SALE-0000167,SKU-09417,Online,South,4,0.11,0,2025-02-01,CUST-007963
SALE-0000168,SKU-06277,Online,North,5,0.49,0,2025-01-04,CUST-001134
SALE-0000169,SKU-01989,Online,North,6,0.01,0,2025-06-22,CUST-008728
SALE-0000170,SKU-06778,Online,East,9,0.43,0,2025-07-05,CUST-002061
SALE-0000171,SKU-06313,Online,West,4,0.47,0,2024-07-18,CUST-002104
SALE-0000172,SKU-08169,Online,South,1,0.23,0,2024-12-16,CUST-007788
SALE-0000173,SKU-00866,Retail,West,7,0.39,0,2025-06-15,CUST-009008
SALE-0000174,SKU-08583,Online,South,2,0.08,0,2024-10-14,CUST-002706
SALE-0000175,SKU-09601,Online,East,4,0.37,0,2025-06-24,CUST-004343
SALE-0000176,SKU-04916,Online,South,4,0.03,0,2024-08-20,CUST-008646
SALE-0000177,SKU-06242,Online,North,2,0.46,0,2025-01-23,CUST-009939
SALE-0000178,SKU-07136,Online,South,4,0.41,0,2024-12-26,CUST-006933
SALE-0000179,SKU-01555,Retail,East,4,0.45,0,2025-06-24,CUST-003471
SALE-0000180,SKU-04048,Online,West,6,0.25,0,2024-12-29,CUST-008836
SALE-0000181,SKU-00132,Retail,North,7,0.38,0,2024-09-15,CUST-003296
SALE-0000182,SKU-03680,Online,East,5,0.49,0,2025-05-15,CUST-005108
SALE-0000183,SKU-06354,Online,East,9,0.43,0,2025-02-12,CUST-006538
SALE-0000184,SKU-03077,Online,East,3,0.15,0,2024-12-29,CUST-006119
SALE-0000185,SKU-01522,Online,East,1,0.29,0,2024-12-08,CUST-007178
SALE-0000186,SKU-03270,Online,North,5,0.19,0,2024-09-30,CUST-008480
SALE-0000187,SKU-00441,Online,South,5,0.41,0,2025-01-21,CUST-007398
SALE-0000188,SKU-09934,Online,West,1,0.49,0,2025-04-22,CUST-001983
SALE-0000189,SKU-01204,Online,South,4,0.49,0,2025-02-12,CUST-004062
SALE-0000190,SKU-08433,Online,East,2,0.3,0,2024-10-04,CUST-003682
SALE-0000191,SKU-03392,Online,North,3,0.12,0,2025-05-20,CUST-001050
SALE-0000192,SKU-03722,Online,North,9,0.05,0,2024-12-09,CUST-005540
SALE-0000193,SKU-06776,Online,West,4,0.46,1,2024-09-03,CUST-000345
SALE-0000194,SKU-07161,Online,South,3,0.27,0,2024-08-09,CUST-009639
SALE-0000195,SKU-07876,Wholesale,East,9,0.47,0,2024-09-18,CUST-009076
SALE-0000196,SKU-09396,Online,East,9,0.47,0,2025-02-24,CUST-003771
SALE-0000197,SKU-01888,Retail,West,5,0.24,0,2025-04-23,CUST-009642
SALE-0000198,SKU-04271,Online,East,9,0.2,0,2025-06-13,CUST-003609
SALE-0000199,SKU-08390,Online,North,2,0.46,0,2024-08-21,CUST-000118
SALE-0000200,SKU-07706,Retail,South,5,0.15,0,2024-12-17,CUST-001164
SALE-0000201,SKU-04195,Online,East,1,0.19,0,2024-09-23,CUST-000965
SALE-0000202,SKU-00745,Online,South,3,0.41,0,2025-01-18,CUST-003751
SALE-0000203,SKU-05547,Online,North,1,0.2,1,2024-11-08,CUST-001105
SALE-0000204,SKU-00453,Online,East,8,0.12,0,2024-11-20,CUST-000515
SALE-0000205,SKU-03263,Retail,South,1,0.06,0,2025-05-15,CUST-005414
SALE-0000206,SKU-07746,Online,East,8,0.15,0,2024-11-12,CUST-001161
SALE-0000207,SKU-00499,Online,East,6,0.18,0,2025-03-31,CUST-008424
SALE-0000208,SKU-00141,Online,North,6,0.1,0,2025-05-30,CUST-003900
SALE-0000209,SKU-01715,Online,East,4,0.22,0,2025-06-03,CUST-004563
SALE-0000210,SKU-00676,Retail,North,9,0.21,0,2024-09-09,CUST-007954
SALE-0000211,SKU-03506,Retail,North,5,0.13,0,2025-05-03,CUST-003511
SALE-0000212,SKU-03603,Online,East,2,0.26,0,2024-09-30,CUST-008835
SALE-0000213,SKU-06676,Online,South,7,0.16,0,2025-05-24,CUST-002168
SALE-0000214,SKU-09110,Online,North,1,0.47,0,2024-10-09,CUST-009356
SALE-0000215,SKU-06505,Online,North,8,0.36,0,2025-05-28,CUST-009441
SALE-0000216,SKU-04804,Online,North,1,0.01,0,2025-03-24,CUST-007745
SALE-0000217,SKU-01731,Online,East,6,0.49,0,2025-05-18,CUST-003982
SALE-0000218,SKU-05977,Wholesale,South,1,0.33,0,2024-12-14,CUST-007750
SALE-0000219,SKU-07812,Online,South,6,0.26,0,2025-05-23,CUST-006670
SALE-0000220,SKU-07029,Wholesale,South,3,0.06,0,2025-05-07,CUST-003120
SALE-0000221,SKU-03719,Retail,East,8,0.28,0,2024-08-01,CUST-001546
SALE-0000222,SKU-07089,Online,West,5,0.29,0,2024-07-16,CUST-001589
SALE-0000223,SKU-01625,Retail,North,1,0.06,0,2025-02-18,CUST-007063
SALE-0000224,SKU-01807,Online,East,5,0.19,0,2025-07-07,CUST-005805
SALE-0000225,SKU-09647,Online,West,6,0.49,0,2024-10-31,CUST-006940
SALE-0000226,SKU-08546,Online,South,7,0.2,0,2024-10-21,CUST-006736
SALE-0000227,SKU-02934,Online,East,3,0.21,1,2024-11-19,CUST-007652
SALE-0000228,SKU-00941,Retail,South,6,0.4,0,2025-03-25,CUST-000888
SALE-0000229,SKU-07788,Retail,East,9,0.35,0,2024-12-11,CUST-001613
SALE-0000230,SKU-03946,Wholesale,West,7,0.28,0,2024-11-12,CUST-000994
SALE-0000231,SKU-07059,Online,West,1,0.49,0,2024-10-31,CUST-006597
SALE-0000232,SKU-04849,Online,East,9,0.12,0,2025-03-23,CUST-005560
SALE-0000233,SKU-08422,Online,West,5,0.15,0,2024-09-29,CUST-001791
SALE-0000234,SKU-04853,Wholesale,South,1,0.05,0,2024-07-19,CUST-004074
SALE-0000235,SKU-06460,Retail,North,7,0.1,0,2025-06-27,CUST-003140
SALE-0000236,SKU-04858,Online,North,5,0.32,0,2025-04-05,CUST-003117
SALE-0000237,SKU-07739,Online,North,3,0.05,0,2024-11-09,CUST-008787
SALE-0000238,SKU-00238,Online,West,3,0.22,0,2025-05-08,CUST-007351
SALE-0000239,SKU-03773,Retail,North,5,0.06,1,2024-09-25,CUST-002297
SALE-0000240,SKU-07736,Online,South,7,0.36,0,2025-03-20,CUST-006913
SALE-0000241,SKU-02782,Wholesale,North,6,0.09,0,2024-10-06,CUST-003007
SALE-0000242,SKU-07088,Online,West,5,0.21,0,2025-05-16,CUST-004564
SALE-0000243,SKU-01985,Wholesale,West,3,0.36,0,2024-10-22,CUST-007580
SALE-0000244,SKU-01053,Online,East,4,0.04,0,2025-01-01,CUST-004093
SALE-0000245,SKU-07659,Online,North,7,0.39,0,2024-12-04,CUST-001236
SALE-0000246,SKU-05255,Online,West,2,0.33,0,2025-04-22,CUST-007261
SALE-0000247,SKU-00351,Online,East,9,0.23,0,2025-01-07,CUST-009017
SALE-0000248,SKU-00913,Retail,West,2,0.06,0,2025-03-30,CUST-001605
SALE-0000249,SKU-04446,Online,East,9,0.15,0,2025-04-27,CUST-000829
SALE-0000250,SKU-09497,Online,West,4,0.42,0,2025-05-25,CUST-008857
SALE-0000251,SKU-00292,Online,North,5,0.04,0,2024-08-01,CUST-000242
SALE-0000252,SKU-09405,Online,East,6,0.47,0,2024-08-02,CUST-001529
SALE-0000253,SKU-07751,Online,North,9,0.01,0,2025-02-21,CUST-003873
SALE-0000254,SKU-00468,Online,East,1,0.11,0,2024-10-12,CUST-002725
SALE-0000255,SKU-03278,Retail,South,5,0.1,0,2024-12-18,CUST-006659
SALE-0000256,SKU-05362,Online,West,5,0.01,0,2025-02-01,CUST-007957
SALE-0000257,SKU-05304,Online,North,4,0.46,0,2024-09-04,CUST-007887
SALE-0000258,SKU-03576,Online,North,7,0.19,0,2024-10-15,CUST-003503
SALE-0000259,SKU-06593,Online,West,8,0.42,0,2024-11-26,CUST-006571
SALE-0000260,SKU-04326,Online,East,6,0.47,0,2025-07-07,CUST-000961
SALE-0000261,SKU-01065,Online,South,8,0.35,0,2024-07-15,CUST-002698
SALE-0000262,SKU-04889,Online,West,6,0.16,0,2024-12-30,CUST-006210
SALE-0000263,SKU-09886,Online,West,5,0.1,0,2024-12-23,CUST-000036
SALE-0000264,SKU-02395,Retail,South,3,0.1,0,2025-06-28,CUST-006397
SALE-0000265,SKU-08279,Retail,East,7,0.22,0,2025-05-12,CUST-004346
SALE-0000266,SKU-02921,Wholesale,West,8,0.43,1,2025-05-27,CUST-007455
SALE-0000267,SKU-06859,Online,West,6,0.33,0,2025-05-08,CUST-004674
SALE-0000268,SKU-00004,Online,East,8,0.37,0,2024-10-10,CUST-006931
SALE-0000269,SKU-05941,Online,West,3,0.5,0,2025-02-17,CUST-009106
SALE-0000270,SKU-08049,Online,North,9,0.25,0,2024-10-04,CUST-007974
SALE-0000271,SKU-09714,Online,West,6,0.2,0,2025-04-28,CUST-002537
SALE-0000272,SKU-01978,Online,North,1,0.33,0,2025-01-24,CUST-003112
SALE-0000273,SKU-09667,Wholesale,North,1,0.23,1,2024-08-23,CUST-004862
SALE-0000274,SKU-09323,Retail,North,5,0.4,1,2025-06-26,CUST-003567
SALE-0000275,SKU-09073,Online,South,3,0.03,0,2025-02-02,CUST-000959
SALE-0000276,SKU-09594,Online,South,7,0.42,0,2024-12-12,CUST-009490
SALE-0000277,SKU-01751,Online,East,5,0.24,0,2025-06-22,CUST-008884
SALE-0000278,SKU-00002,Online,North,8,0.35,0,2025-05-11,CUST-000999
SALE-0000279,SKU-09337,Wholesale,West,1,0.09,0,2024-12-21,CUST-005139
SALE-0000280,SKU-09831,Online,East,8,0.33,0,2025-06-13,CUST-000937
SALE-0000281,SKU-08341,Online,North,3,0.03,0,2024-11-24,CUST-000822
SALE-0000282,SKU-04248,Online,West,8,0.0,1,2025-01-29,CUST-009572
SALE-0000283,SKU-07733,Retail,North,5,0.28,1,2024-09-30,CUST-007812
SALE-0000284,SKU-06036,Wholesale,East,4,0.33,0,2025-05-15,CUST-008239
SALE-0000285,SKU-02044,Retail,North,3,0.33,0,2025-04-22,CUST-008702
SALE-0000286,SKU-01703,Online,South,2,0.33,1,2024-07-26,CUST-002580
SALE-0000287,SKU-05948,Online,South,5,0.1,0,2024-09-14,CUST-000932
SALE-0000288,SKU-01388,Online,East,8,0.22,0,2024-08-29,CUST-008321
SALE-0000289,SKU-09856,Online,West,3,0.38,0,2024-12-19,CUST-001313
SALE-0000290,SKU-05827,Online,South,8,0.45,0,2025-04-06,CUST-003045
SALE-0000291,SKU-09443,Retail,South,9,0.17,0,2024-07-25,CUST-001123
SALE-0000292,SKU-04463,Online,North,9,0.22,0,2025-01-09,CUST-009750
SALE-0000293,SKU-02037,Retail,North,9,0.01,0,2025-05-19,CUST-001114
SALE-0000294,SKU-06406,Retail,South,8,0.33,0,2025-06-09,CUST-003854
SALE-0000295,SKU-06790,Retail,North,6,0.13,0,2024-08-09,CUST-006616
SALE-0000296,SKU-06120,Online,North,6,0.36,0,2024-09-28,CUST-001965
SALE-0000297,SKU-00538,Online,South,6,0.47,0,2025-01-19,CUST-009334
SALE-0000298,SKU-09747,Retail,North,6,0.05,0,2025-02-05,CUST-004034
SALE-0000299,SKU-08983,Retail,South,2,0.31,0,2024-11-01,CUST-009486
SALE-0000300,SKU-06864,Online,South,5,0.26,0,2025-04-07,CUST-009741
SALE-0000301,SKU-01949,Online,East,9,0.39,0,2025-02-24,CUST-000652
SALE-0000302,SKU-05179,Retail,East,5,0.04,1,2025-04-14,CUST-001344
SALE-0000303,SKU-05105,Online,West,1,0.5,0,2025-04-25,CUST-006869
SALE-0000304,SKU-04144,Online,East,9,0.23,0,2024-12-03,CUST-009563
SALE-0000305,SKU-09628,Online,East,3,0.13,1,2024-08-23,CUST-009261
SALE-0000306,SKU-02849,Online,North,3,0.22,0,2024-08-30,CUST-008566
SALE-0000307,SKU-08306,Retail,South,5,0.11,0,2024-11-24,CUST-005184
SALE-0000308,SKU-02344,Online,South,5,0.33,0,2025-03-06,CUST-004273
SALE-0000309,SKU-04534,Retail,South,2,0.4,0,2025-06-27,CUST-003347
SALE-0000310,SKU-00162,Online,East,6,0.08,1,2025-06-21,CUST-005148
SALE-0000311,SKU-08696,Retail,South,9,0.11,0,2024-09-20,CUST-003911
SALE-0000312,SKU-02635,Wholesale,West,3,0.03,0,2025-04-05,CUST-004352
SALE-0000313,SKU-05102,Online,South,5,0.22,0,2025-05-04,CUST-006485
SALE-0000314,SKU-05767,Retail,South,2,0.05,1,2024-07-28,CUST-002145
SALE-0000315,SKU-09587,Online,North,6,0.5,0,2024-09-05,CUST-004916
SALE-0000316,SKU-01510,Wholesale,North,3,0.45,0,2025-06-26,CUST-007492
SALE-0000317,SKU-02320,Online,East,6,0.27,0,2024-09-25,CUST-005181
SALE-0000318,SKU-06106,Online,East,3,0.1,0,2025-05-02,CUST-001189
SALE-0000319,SKU-08672,Online,West,5,0.07,0,2024-10-13,CUST-000153
SALE-0000320,SKU-08947,Online,East,5,0.31,0,2025-01-04,CUST-007509
SALE-0000321,SKU-04000,Online,North,7,0.3,0,2025-01-29,CUST-009225
SALE-0000322,SKU-08396,Online,North,4,0.15,0,2024-10-15,CUST-001639
SALE-0000323,SKU-03350,Online,East,4,0.44,0,2024-09-03,CUST-001201
SALE-0000324,SKU-04212,Online,South,5,0.35,0,2025-04-20,CUST-008809
SALE-0000325,SKU-00392,Online,West,9,0.08,0,2025-01-13,CUST-003493
SALE-0000326,SKU-07952,Online,North,9,0.05,0,2025-04-16,CUST-008289
SALE-0000327,SKU-06832,Online,East,4,0.3,0,2025-03-01,CUST-004346
