product_id,unit_cost,mrp,category,launch_date
SKU-00039,357.9,606.44,Grocery,2022-09-15
SKU-00040,248.07,189.76,Electronics,2024-08-03
SKU-00041,104.92,929.76,Electronics,2023-11-14
SKU-00042,272.83,226.69,Grocery,2023-05-18
SKU-00043,65.47,302.41,Grocery,2023-10-15
SKU-00044,459.19,602.32,Electronics,2023-08-18
SKU-00045,166.45,787.68,Electronics,2023-04-02
SKU-00046,348.14,657.42,Grocery,2022-09-05
SKU-00047,190.27,308.92,Apparel,2024-08-30
SKU-00048,284.03,100.85,Electronics,2023-03-14
SKU-00049,296.02,781.44,Home & Kitchen,2024-06-08
SKU-00050,133.18,986.69,Beauty,2024-04-30
SKU-00051,486.31,828.92,Electronics,2022-07-31
SKU-00052,398.81,514.19,Grocery,2023-03-06
SKU-00053,472.77,913.39,Home & Kitchen,2023-09-07
SKU-00054,452.67,468.86,Apparel,2025-06-11
SKU-00055,319.05,572.44,Grocery,2023-08-29
SKU-00056,464.84,529.42,Beauty,2025-03-14
SKU-00057,89.82,502.86,Electronics,2024-04-30
SKU-00058,138.19,797.67,Electronics,2024-01-30
SKU-00059,70.35,574.09,Beauty,2023-09-16
SKU-00060,196.4,385.05,Home & Kitchen,2022-11-05
SKU-00061,224.9,332.34,Apparel,2024-04-30
SKU-00062,172.11,133.97,Home & Kitchen,2024-09-10
SKU-00063,422.93,624.88,Grocery,2023-12-22
SKU-00064,210.54,306.97,Grocery,2024-04-08
SKU-00065,176.42,233.32,Beauty,2023-02-07
SKU-00066,294.21,688.45,Apparel,2024-11-09
SKU-00067,113.42,713.09,Electronics,2025-03-09
SKU-00068,410.99,776.94,Home & Kitchen,2025-05-25
SKU-00069,83.55,553.22,Apparel,2023-05-14
SKU-00070,494.1,904.65,Home & Kitchen,2023-04-18
SKU-00071,397.51,942.71,Apparel,2023-08-27
SKU-00072,139.42,826.63,Electronics,2024-02-24
SKU-00073,52.48,672.03,Apparel,2023-10-24
SKU-00074,416.96,373.35,Home & Kitchen,2023-04-09
SKU-00075,368.09,984.65,Grocery,2023-10-07
SKU-00076,378.05,346.72,Apparel,2023-05-30
SKU-00077,397.07,282.39,Electronics,2023-07-23
SKU-00078,83.32,497.94,Apparel,2024-08-22
SKU-00079,211.31,151.16,Grocery,2023-05-08
SKU-00080,102.14,980.65,Apparel,2024-10-06
SKU-00081,438.4,629.59,Home & Kitchen,2025-03-15
SKU-00082,330.48,601.26,Home & Kitchen,2022-07-22
SKU-00083,198.9,690.22,Electronics,2025-04-01
SKU-00084,78.6,547.32,Grocery,2023-03-17
SKU-00085,189.94,128.86,Electronics,2023-09-19
SKU-00086,196.33,651.08,Home & Kitchen,2022-12-02
SKU-00087,378.32,744.56,Electronics,2023-12-06
SKU-00088,336.9,475.07,Electronics,2024-07-05
SKU-00089,449.25,781.57,Home & Kitchen,2023-01-11
SKU-00090,262.5,304.3,Apparel,2023-02-08
SKU-00091,103.82,299.15,Grocery,2022-12-31
SKU-00092,370.96,245.28,Grocery,2022-08-05
SKU-00093,392.35,434.8,Grocery,2024-03-26
SKU-00094,302.57,862.31,Apparel,2024-08-22
SKU-00095,396.94,845.12,Home & Kitchen,2023-04-07
SKU-00096,272.21,444.54,Home & Kitchen,2022-09-03
SKU-00097,285.23,630.21,Apparel,2022-10-02
SKU-00098,242.39,748.73,Home & Kitchen,2024-09-03
SKU-00099,61.44,317.09,Beauty,2024-07-25
SKU-00100,98.55,251.33,Electronics,2023-04-18
SKU-00101,64.14,974.89,Beauty,2025-01-29
SKU-00102,336.38,655.8,Electronics,2023-08-16
SKU-00103,191.46,983.27,Apparel,2025-06-29
SKU-00104,278.86,403.98,Electronics,2024-03-29
SKU-00105,458.4,732.73,Home & Kitchen,2025-05-21
SKU-00106,162.18,300.34,Electronics,2023-01-29
SKU-00107,234.67,335.08,Grocery,2023-07-13
SKU-00108,390.0,560.71,Grocery,2023-10-30
SKU-00109,152.96,387.66,Home & Kitchen,2023-09-08
SKU-00110,84.64,250.86,Apparel,2022-11-25
SKU-00111,180.39,336.59,Beauty,2022-12-27
SKU-00112,122.55,132.17,Grocery,2023-08-29
SKU-00113,468.36,733.98,Apparel,2025-03-13
SKU-00114,413.65,542.9,Grocery,2024-11-21
SKU-00115,335.03,184.82,Home & Kitchen,2024-08-15
SKU-00116,442.16,254.52,Home & Kitchen,2024-04-05
SKU-00117,411.65,192.28,Apparel,2025-05-03
SKU-00118,133.96,651.33,Apparel,2023-11-08
SKU-00119,451.65,184.79,Electronics,2023-06-08
SKU-00120,292.7,778.85,Apparel,2022-09-08
SKU-00121,413.35,118.46,Home & Kitchen,2025-02-08
SKU-00122,453.24,324.44,Beauty,2023-01-29
SKU-00123,193.1,901.6,Beauty,2023-01-02
SKU-00124,99.52,746.68,Home & Kitchen,2023-03-16
SKU-00125,152.57,165.67,Home & Kitchen,2024-10-21
SKU-00126,242.2,839.01,Electronics,2022-09-30
SKU-00127,418.11,543.73,Home & Kitchen,2022-11-22
SKU-00128,437.33,862.1,Electronics,2025-02-15
SKU-00129,53.13,640.67,Electronics,2024-08-01
SKU-00130,279.84,713.65,Home & Kitchen,2025-03-29
SKU-00131,237.83,994.15,Apparel,2025-05-14
SKU-00132,149.95,309.1,Electronics,2024-01-11
SKU-00133,103.94,661.55,Grocery,2023-01-18
SKU-00134,201.93,514.29,Apparel,2025-05-10
SKU-00135,474.31,135.51,Electronics,2022-08-22
SKU-00136,195.44,113.02,Electronics,2024-05-01
SKU-00137,283.46,207.31,Electronics,2023-04-27
SKU-00138,366.36,684.18,Electronics,2022-08-12
SKU-00139,213.63,610.45,Grocery,2023-03-21
SKU-00140,487.3,598.09,Apparel,2024-12-11
SKU-00141,483.1,128.67,Grocery,2023-10-19
SKU-00142,163.3,522.37,Electronics,2023-02-12
SKU-00143,273.76,932.16,Apparel,2025-02-22
SKU-00144,185.4,457.83,Home & Kitchen,2025-05-07
SKU-00145,178.18,662.43,Home & Kitchen,2024-12-03
SKU-00146,66.6,801.84,Home & Kitchen,2023-08-25
SKU-00147,324.3,805.53,Beauty,2024-05-31
SKU-00148,276.21,567.35,Electronics,2023-01-22
SKU-00149,73.17,872.16,Apparel,2024-05-11
SKU-00150,175.39,452.24,Grocery,2023-04-22
SKU-00151,458.72,899.82,Electronics,2023-10-20
SKU-00152,157.8,316.2,Electronics,2024-07-13
SKU-00153,115.2,352.19,Electronics,2022-11-07
SKU-00154,270.25,147.81,Home & Kitchen,2025-04-23
SKU-00155,493.54,816.02,Electronics,2023-12-07
SKU-00156,158.92,475.35,Electronics,2023-08-31
SKU-00157,352.46,306.2,Apparel,2025-06-21
SKU-00158,392.73,308.61,Home & Kitchen,2023-04-17
SKU-00159,156.94,911.26,Electronics,2025-02-20
SKU-00160,377.7,850.52,Apparel,2025-04-30
SKU-00161,215.5,598.18,Home & Kitchen,2022-07-18
SKU-00162,334.54,654.5,Beauty,2023-10-12
SKU-00163,335.09,526.89,Home & Kitchen,2025-04-20
SKU-00164,291.1,452.5,Grocery,2023-04-10
SKU-00165,90.63,923.93,Apparel,2023-12-23
SKU-00166,425.89,213.05,Electronics,2024-06-19
SKU-00167,194.35,476.6,Apparel,2023-06-14
SKU-00168,133.93,410.11,Grocery,2024-06-01
SKU-00169,68.35,548.34,Apparel,2023-09-06
SKU-00170,315.9,511.87,Grocery,2024-10-30
SKU-00171,354.9,567.0,Beauty,2024-03-07
SKU-00172,57.46,225.93,Electronics,2022-10-30
SKU-00173,280.44,561.83,Electronics,2025-01-05
SKU-00174,151.92,318.18,Electronics,2024-10-09
SKU-00175,340.33,265.9,Apparel,2025-06-03
SKU-00176,128.46,158.35,Electronics,2023-02-09
SKU-00177,360.92,786.39,Grocery,2025-02-22
SKU-00178,224.03,484.7,Electronics,2023-01-09
SKU-00179,471.53,663.98,Apparel,2023-05-07
SKU-00180,111.88,754.83,Electronics,2023-10-20
SKU-00181,203.48,711.38,Beauty,2022-08-21
SKU-00182,101.06,523.45,Home & Kitchen,2023-04-27
SKU-00183,466.11,449.11,Beauty,2024-02-13
SKU-00184,444.8,438.36,Beauty,2023-04-26
SKU-00185,166.07,676.04,Apparel,2024-03-29
SKU-00186,346.99,545.31,Electronics,2022-07-31
SKU-00187,417.75,864.22,Electronics,2023-01-04
SKU-00188,299.84,887.23,Electronics,2025-05-22
SKU-00189,288.34,253.5,Grocery,2024-11-11
SKU-00190,158.83,222.61,Electronics,2024-08-27
SKU-00191,91.9,667.36,Electronics,2025-07-02
SKU-00192,453.75,371.1,Home & Kitchen,2023-08-02
SKU-00193,455.19,116.71,Home & Kitchen,2023-07-20
SKU-00194,334.9,899.78,Home & Kitchen,2023-02-28
SKU-00195,202.56,304.21,Apparel,2024-05-18
SKU-00196,207.14,936.35,Grocery,2025-04-04
SKU-00197,376.68,745.69,Home & Kitchen,2025-04-20
SKU-00198,453.7,786.39,Electronics,2022-09-30
SKU-00199,449.19,281.32,Grocery,2023-10-11
SKU-00200,400.94,310.77,Beauty,2023-08-16
SKU-00201,338.91,569.14,Electronics,2024-01-31
SKU-00202,87.86,254.89,Apparel,2024-06-15
SKU-00203,122.73,374.89,Apparel,2023-05-24
SKU-00204,454.35,389.32,Electronics,2024-08-27
SKU-00205,322.89,243.67,Grocery,2022-08-15
SKU-00206,54.14,284.66,Electronics,2025-06-06
SKU-00207,95.66,809.7,Grocery,2024-11-26
SKU-00208,348.58,250.48,Home & Kitchen,2024-12-28
SKU-00209,52.28,125.61,Home & Kitchen,2024-10-04
SKU-00210,122.36,666.42,Electronics,2025-05-02
SKU-00211,296.93,978.38,Electronics,2023-06-24
SKU-00212,361.35,398.09,Electronics,2023-05-16
SKU-00213,343.38,206.79,Electronics,2025-05-16
SKU-00214,150.92,613.35,Apparel,2022-09-13
SKU-00215,370.48,915.72,Grocery,2025-06-27
SKU-00216,156.76,805.66,Apparel,2024-04-27
SKU-00217,196.43,660.26,Grocery,2023-06-03
SKU-00218,385.92,383.55,Apparel,2024-05-17
SKU-00219,342.33,587.69,Grocery,2023-01-03
SKU-00220,432.15,182.12,Beauty,2025-02-08
SKU-00221,345.93,711.05,Electronics,2025-05-23
SKU-00222,305.74,752.59,Grocery,2025-01-05
SKU-00223,92.15,968.53,Home & Kitchen,2024-07-06
SKU-00224,215.47,334.36,Grocery,2024-08-04
SKU-00225,169.34,116.61,Home & Kitchen,2023-10-06
SKU-00226,159.8,591.05,Apparel,2024-04-05
SKU-00227,487.85,736.11,Electronics,2023-03-15
SKU-00228,226.89,811.37,Electronics,2025-03-13
SKU-00229,451.42,274.37,Home & Kitchen,2025-01-21
SKU-00230,334.01,335.58,Beauty,2023-05-08
SKU-00231,407.67,561.33,Grocery,2024-02-23
SKU-00232,276.19,397.54,Apparel,2024-11-13
SKU-00233,309.61,874.46,Grocery,2024-03-04
SKU-00234,271.63,526.38,Grocery,2023-12-18
SKU-00235,137.86,819.62,Electronics,2024-07-25
SKU-00236,375.1,622.56,Electronics,2024-05-28
SKU-00237,176.35,795.78,Electronics,2023-01-20
SKU-00238,60.94,399.41,Grocery,2024-04-26
SKU-00239,340.46,848.27,Grocery,2025-06-02
SKU-00240,129.7,347.12,Electronics,2022-09-14
SKU-00241,473.21,591.49,Electronics,2024-02-19
SKU-00242,479.27,292.61,Grocery,2023-04-06
SKU-00243,461.69,527.97,Beauty,2023-10-19
SKU-00244,216.57,386.36,Grocery,2022-08-04
SKU-00245,56.96,340.03,Home & Kitchen,2023-10-28
SKU-00246,467.74,970.29,Electronics,2024-07-16
SKU-00247,242.68,244.07,Home & Kitchen,2023-11-16
SKU-00248,484.99,808.59,Electronics,2022-08-12
SKU-00249,483.63,985.75,Grocery,2023-10-02
SKU-00250,433.85,117.91,Apparel,2024-10-18
SKU-00251,182.5,729.12,Grocery,2025-05-19
SKU-00252,223.29,327.62,Apparel,2025-06-24
SKU-00253,433.01,136.44,Grocery,2023-03-06
SKU-00254,192.61,462.6,Apparel,2024-07-29
SKU-00255,126.27,941.7,Apparel,2024-02-27
SKU-00256,300.56,110.59,Home & Kitchen,2025-03-13
SKU-00257,471.27,629.1,Electronics,2023-05-02
SKU-00258,363.21,551.26,Beauty,2022-07-27
SKU-00259,306.53,886.05,Home & Kitchen,2024-01-31
SKU-00260,93.73,175.6,Home & Kitchen,2023-09-22
SKU-00261,326.75,713.37,Grocery,2025-07-08
SKU-00262,495.52,712.1,Grocery,2025-02-05
SKU-00263,113.04,702.17,Home & Kitchen,2022-07-29
SKU-00264,283.25,948.1,Beauty,2024-04-09
SKU-00265,444.82,840.78,Electronics,2025-01-07
SKU-00266,383.35,137.78,Electronics,2022-08-25
SKU-00267,363.66,523.97,Home & Kitchen,2025-04-04
SKU-00268,366.12,458.16,Apparel,2023-07-17
SKU-00269,211.77,379.13,Apparel,2024-10-05
SKU-00270,182.12,506.2,Apparel,2024-01-31
SKU-00271,414.21,445.77,Apparel,2022-11-20
SKU-00272,414.55,489.1,Grocery,2024-03-21
SKU-00273,440.18,981.34,Home & Kitchen,2024-04-21
SKU-00274,460.96,179.77,Beauty,2025-05-06
SKU-00275,280.1,930.01,Grocery,2023-09-11
SKU-00276,275.68,532.21,Electronics,2023-02-22
SKU-00277,409.23,661.37,Electronics,2022-08-22
SKU-00278,342.48,847.16,Apparel,2024-03-18
SKU-00279,365.89,424.42,Grocery,2023-09-06
SKU-00280,408.11,487.38,Electronics,2025-02-05
SKU-00281,450.5,468.57,Electronics,2023-12-04
SKU-00282,202.1,437.26,Beauty,2025-06-11
SKU-00283,219.01,932.98,Home & Kitchen,2023-06-25
SKU-00284,92.29,846.04,Electronics,2024-08-18
SKU-00285,310.23,198.1,Electronics,2022-12-08
SKU-00286,66.17,197.31,Grocery,2022-10-20
SKU-00287,259.52,485.08,Grocery,2024-08-11
SKU-00288,294.19,188.79,Electronics,2024-12-15
SKU-00289,178.94,657.18,Apparel,2025-05-10
SKU-00290,315.87,229.32,Grocery,2024-06-05
SKU-00291,63.73,570.14,Grocery,2023-04-15
SKU-00292,66.81,106.5,Grocery,2024-11-23
SKU-00293,420.17,384.94,Home & Kitchen,2023-09-17
SKU-00294,212.09,709.47,Beauty,2024-07-23
SKU-00295,107.18,535.64,Apparel,2023-06-12
SKU-00296,285.01,980.44,Electronics,2024-12-30
SKU-00297,396.5,886.69,Grocery,2023-09-22
SKU-00298,147.12,423.16,Home & Kitchen,2023-04-25
SKU-00299,330.3,140.94,Grocery,2023-06-03
SKU-00300,88.41,861.06,Electronics,2022-09-24
SKU-00301,73.26,920.11,Grocery,2024-12-10
SKU-00302,289.11,838.56,Electronics,2023-12-29
SKU-00303,293.29,215.15,Home & Kitchen,2024-05-10
SKU-00304,336.84,998.12,Electronics,2022-07-09
SKU-00305,376.74,332.73,Home & Kitchen,2023-02-17
SKU-00306,489.13,751.78,Grocery,2025-01-12
SKU-00307,282.34,917.23,Apparel,2022-08-09
SKU-00308,195.33,312.12,Electronics,2024-09-21
SKU-00309,407.83,917.43,Home & Kitchen,2024-12-20
SKU-00310,171.87,378.53,Grocery,2024-05-03
SKU-00311,247.54,978.77,Apparel,2023-03-14
SKU-00312,85.31,353.13,Electronics,2024-05-24
SKU-00313,61.41,958.09,Electronics,2023-09-26
SKU-00314,483.19,148.19,Beauty,2025-06-04
SKU-00315,426.19,738.34,Apparel,2022-08-18
SKU-00316,363.19,578.9,Electronics,2023-02-04
SKU-00317,234.03,530.09,Grocery,2025-04-10
SKU-00318,127.98,301.14,Home & Kitchen,2024-06-22
SKU-00319,120.4,735.04,Electronics,2023-01-29
SKU-00320,162.61,271.73,Beauty,2024-06-26
SKU-00321,297.15,597.56,Home & Kitchen,2025-04-12
SKU-00322,371.57,327.92,Home & Kitchen,2023-10-18
SKU-00323,347.09,960.06,Apparel,2023-09-16
SKU-00324,175.97,125.77,Grocery,2024-04-02
SKU-00325,479.69,279.76,Electronics,2024-11-01
SKU-00326,382.05,318.08,Electronics,2023-09-27
SKU-00327,299.46,472.66,Electronics,2024-08-16
SKU-00328,325.27,309.46,Grocery,2024-12-22
SKU-00329,238.82,542.21,Home & Kitchen,2023-05-09
SKU-00330,161.48,885.22,Home & Kitchen,2024-06-27
SKU-00331,210.19,740.86,Electronics,2024-03-18
SKU-00332,391.03,621.97,Home & Kitchen,2024-09-01
SKU-00333,56.48,180.1,Grocery,2025-06-05
SKU-00334,102.23,724.59,Apparel,2024-12-29
SKU-00335,70.7,249.77,Grocery,2025-02-05
SKU-00336,68.33,807.73,Apparel,2022-08-06
SKU-00337,434.96,325.05,Grocery,2023-08-23
SKU-00338,366.65,475.34,Electronics,2024-01-01
SKU-00339,263.38,415.42,Home & Kitchen,2023-02-07
SKU-00340,94.03,872.93,Beauty,2024-04-01
SKU-00341,271.23,213.89,Beauty,2022-12-22
SKU-00342,263.06,609.08,Electronics,2024-07-08
SKU-00343,127.94,227.86,Apparel,2023-05-21
SKU-00344,245.23,734.32,Electronics,2025-01-12
SKU-00345,229.33,914.57,Grocery,2025-03-07
SKU-00346,327.13,491.15,Home & Kitchen,2024-06-08
SKU-00347,335.79,539.28,Apparel,2022-09-19
SKU-00348,70.39,934.68,Electronics,2023-05-22
SKU-00349,218.58,568.89,Beauty,2022-08-28
SKU-00350,331.64,538.84,Home & Kitchen,2024-05-23
SKU-00351,276.41,620.5,Electronics,2024-06-01
SKU-00352,435.42,720.31,Apparel,2025-04-10
SKU-00353,346.41,196.2,Electronics,2025-01-02
SKU-00354,123.32,839.0,Home & Kitchen,2024-03-23
SKU-00355,81.76,491.95,Beauty,2023-06-16
SKU-00356,339.09,165.11,Grocery,2025-03-04
SKU-00357,61.93,807.56,Apparel,2024-06-23
SKU-00358,313.6,439.25,Grocery,2025-02-28
SKU-00359,473.1,190.33,Apparel,2022-12-12
SKU-00360,308.96,670.4,Electronics,2024-07-03
SKU-00361,224.68,892.12,Beauty,2024-10-27
SKU-00362,339.48,898.98,Apparel,2025-03-09
SKU-00363,256.21,961.9,Apparel,2025-02-26
SKU-00364,295.53,880.93,Beauty,2024-11-20
SKU-00365,473.66,101.93,Electronics,2022-10-27
SKU-00366,223.75,442.22,Grocery,2025-03-25
SKU-00367,482.54,836.69,Beauty,2023-03-09
SKU-00368,457.41,429.63,Home & Kitchen,2025-04-17
SKU-00369,138.11,641.39,Electronics,2023-05-16
SKU-00370,81.21,645.69,Apparel,2024-10-07
SKU-00371,95.35,428.52,Electronics,2023-03-05
SKU-00372,58.2,914.03,Apparel,2025-05-02
SKU-00373,92.5,552.91,Grocery,2023-01-16
SKU-00374,357.35,518.31,Apparel,2024-09-23
SKU-00375,82.03,997.76,Apparel,2025-04-02
SKU-00376,193.54,544.15,Home & Kitchen,2025-02-17
SKU-00377,430.19,260.56,Home & Kitchen,2024-10-09
SKU-00378,60.47,561.76,Grocery,2023-03-14
SKU-00379,416.51,832.62,Apparel,2023-03-15
SKU-00380,176.83,799.17,Grocery,2024-11-19
SKU-00381,103.17,809.72,Home & Kitchen,2023-10-19
SKU-00382,363.53,737.22,Apparel,2024-07-01
SKU-00383,333.02,328.8,Electronics,2023-01-27
SKU-00384,444.86,875.88,Apparel,2024-08-08
SKU-00385,380.78,904.1,Home & Kitchen,2024-05-13
SKU-00386,411.57,274.74,Electronics,2025-03-31
SKU-00387,176.92,217.41,Beauty,2023-02-28
SKU-00388,129.85,978.04,Home & Kitchen,2022-12-02
SKU-00389,387.78,881.49,Beauty,2023-12-10
SKU-00390,413.08,903.91,Electronics,2025-02-17
SKU-00391,495.73,897.74,Apparel,2025-01-05
SKU-00392,235.68,587.52,Electronics,2022-11-23
SKU-00393,217.41,681.76,Electronics,2022-08-28
SKU-00394,399.39,590.83,Grocery,2023-12-10
SKU-00395,203.36,146.09,Electronics,2023-12-28
SKU-00396,468.84,770.95,Apparel,2022-10-25
SKU-00397,436.29,554.8,Electronics,2022-10-12
SKU-00398,243.05,682.94,Apparel,2024-07-18
SKU-00399,387.89,552.38,Grocery,2025-06-12
SKU-00400,389.54,542.63,Home & Kitchen,2024-02-07
SKU-00401,96.41,254.61,Grocery,2023-06-15
SKU-00402,456.15,350.84,Apparel,2024-12-22
SKU-00403,277.36,242.97,Beauty,2025-05-29
SKU-00404,421.91,276.1,Grocery,2023-08-23
SKU-00405,194.02,975.68,Apparel,2024-01-14
SKU-00406,452.99,237.8,Apparel,2024-08-01
SKU-00407,225.14,342.34,Beauty,2023-08-19
SKU-00408,54.88,631.53,Home & Kitchen,2023-03-04
SKU-00409,457.42,649.16,Grocery,2024-07-06
SKU-00410,91.08,238.58,Apparel,2023-04-20
SKU-00411,193.69,814.35,Electronics,2023-10-14
SKU-00412,477.53,806.68,Grocery,2025-05-01
SKU-00413,477.77,313.59,Home & Kitchen,2023-08-09
SKU-00414,308.05,359.8,Home & Kitchen,2025-06-30
SKU-00415,334.33,944.19,Home & Kitchen,2022-09-04
SKU-00416,251.8,843.1,Electronics,2024-11-30
SKU-00417,181.94,728.02,Grocery,2022-11-21
SKU-00418,197.9,174.01,Beauty,2024-08-15
SKU-00419,352.63,476.44,Grocery,2024-08-20
SKU-00420,388.57,603.37,Apparel,2023-05-17
SKU-00421,406.21,268.67,Apparel,2024-01-17
SKU-00422,405.33,503.4,Grocery,2025-03-21
SKU-00423,91.04,640.92,Home & Kitchen,2024-09-04
SKU-00424,272.49,394.64,Home & Kitchen,2024-01-16
SKU-00425,75.9,802.85,Beauty,2024-02-27
SKU-00426,297.29,856.4,Home & Kitchen,2024-06-26
SKU-00427,248.69,391.25,Home & Kitchen,2022-11-28
SKU-00428,449.47,854.79,Electronics,2023-07-14
SKU-00429,207.91,193.22,Electronics,2025-06-02
SKU-00430,102.68,853.96,Electronics,2024-04-02
SKU-00431,114.35,237.48,Beauty,2024-08-09
SKU-00432,392.68,174.63,Apparel,2024-06-27
SKU-00433,328.2,677.6,Apparel,2023-08-24
SKU-00434,95.51,524.74,Grocery,2023-12-11
SKU-00435,87.85,917.1,Home & Kitchen,2025-02-26
SKU-00436,365.44,426.87,Home & Kitchen,2024-08-21
SKU-00437,82.74,358.44,Electronics,2022-12-09
SKU-00438,419.84,550.66,Grocery,2023-04-26
SKU-00439,367.81,510.35,Electronics,2024-11-24
SKU-00440,86.61,409.99,Electronics,2022-11-24
SKU-00441,88.18,724.37,Electronics,2023-08-19
SKU-00442,493.99,783.61,Electronics,2023-12-09
SKU-00443,218.42,867.69,Electronics,2024-02-13
SKU-00444,216.79,975.57,Home & Kitchen,2024-12-12
SKU-00445,415.76,339.99,Electronics,2024-01-31
SKU-00446,476.26,744.48,Home & Kitchen,2024-05-10
SKU-00447,493.7,454.83,Electronics,2023-12-07
SKU-00448,389.02,709.37,Electronics,2023-05-27
SKU-00449,219.32,528.38,Home & Kitchen,2022-11-17
SKU-00450,87.58,994.4,Beauty,2022-08-20
SKU-00451,399.72,756.01,Grocery,2023-09-09
SKU-00452,301.28,957.24,Beauty,2023-01-12
SKU-00453,240.9,851.47,Home & Kitchen,2023-03-07
SKU-00454,457.86,912.61,Home & Kitchen,2024-11-16
SKU-00455,100.04,832.98,Home & Kitchen,2025-01-26
SKU-00456,271.68,513.24,Home & Kitchen,2024-02-13
SKU-00457,55.11,326.61,Electronics,2023-11-16
SKU-00458,260.9,433.29,Home & Kitchen,2023-12-24
SKU-00459,75.34,118.21,Apparel,2024-01-14
SKU-00460,103.47,571.59,Apparel,2024-07-25
SKU-00461,102.89,554.55,Home & Kitchen,2022-10-28
SKU-00462,342.14,572.73,Electronics,2023-03-03
SKU-00463,385.72,976.63,Apparel,2025-03-03
SKU-00464,312.52,920.31,Electronics,2023-11-16
SKU-00465,482.98,245.54,Beauty,2024-02-22
SKU-00466,218.69,431.99,Electronics,2023-01-30
SKU-00467,178.57,481.56,Electronics,2025-01-08
SKU-00468,440.87,424.48,Grocery,2024-07-01
SKU-00469,150.62,818.65,Apparel,2024-04-22
SKU-00470,483.45,571.63,Electronics,2024-06-20
SKU-00471,55.47,614.89,Apparel,2024-01-10
SKU-00472,486.45,867.71,Electronics,2022-11-21
SKU-00473,69.42,825.34,Electronics,2024-08-31
SKU-00474,451.01,218.99,Electronics,2023-08-11
SKU-00475,287.47,742.52,Apparel,2022-10-27
SKU-00476,496.83,491.89,Grocery,2022-07-11
SKU-00477,83.21,365.18,Home & Kitchen,2022-08-15
SKU-00478,299.23,145.02,Home & Kitchen,2024-02-07
SKU-00479,486.19,538.52,Electronics,2024-02-26
SKU-00480,285.39,419.89,Apparel,2025-02-15
SKU-00481,333.23,326.36,Grocery,2025-01-08
SKU-00482,363.09,725.2,Electronics,2025-03-01
SKU-00483,254.54,792.54,Grocery,2023-09-17
SKU-00484,332.4,320.31,Apparel,2023-08-31
SKU-00485,312.94,144.5,Grocery,2024-05-01
SKU-00486,455.52,863.88,Apparel,2023-05-09
SKU-00487,70.45,108.96,Apparel,2023-04-23
SKU-00488,176.43,943.4,Grocery,2024-07-02
SKU-00489,477.69,664.86,Grocery,2024-04-17
SKU-00490,450.62,389.66,Electronics,2024-10-26
SKU-00491,255.05,321.83,Beauty,2025-06-29
SKU-00492,329.06,108.11,Electronics,2023-09-04
SKU-00493,174.82,311.92,Electronics,2022-09-20
SKU-00494,134.65,223.96,Home & Kitchen,2023-09-06
SKU-00495,258.66,650.95,Grocery,2024-07-29
SKU-00496,209.01,249.89,Beauty,2025-07-07
SKU-00497,312.65,575.77,Apparel,2022-07-31
SKU-00498,84.98,631.1,Electronics,2024-02-04
SKU-00499,488.48,368.24,Home & Kitchen,2024-11-26
SKU-00500,493.79,131.56,Electronics,2024-06-25
SKU-00501,364.17,133.53,Apparel,2025-03-22
SKU-00502,291.24,123.71,Apparel,2024-08-06
