customer_id,churn_flag,ltv,acquisition_source,signup_date,region,segment,cluster,segment_tag
CUST-000125,0,3117.96,Google Ads,2022-12-01,East,Low-Value,3,"Low LTV, no churn"
CUST-000126,0,4232.33,Facebook,2023-03-05,South,Medium-Value,1,"Low LTV, no churn"
CUST-000127,1,1159.46,Facebook,2025-05-20,East,Low-Value,3,"Low LTV, high churn risk"
CUST-000128,0,2589.54,Organic,2023-09-05,North,High-Value,3,"Low LTV, no churn"
CUST-000129,0,2096.35,Facebook,2024-11-24,North,Medium-Value,1,"Low LTV, no churn"
CUST-000130,0,4807.63,Google Ads,2024-01-22,West,Medium-Value,1,"Low LTV, no churn"
CUST-000131,0,2056.12,Organic,2024-12-23,West,Medium-Value,1,"Low LTV, no churn"
CUST-000132,0,7963.41,Facebook,2025-05-21,East,Medium-Value,2,"High LTV, low churn"
CUST-000133,0,1852.39,Google Ads,2024-07-21,East,Low-Value,3,"Low LTV, no churn"
CUST-000134,0,1088.64,Facebook,2023-09-18,South,Low-Value,3,"Low LTV, no churn"
CUST-000135,0,8172.06,Referral,2024-11-12,South,Low-Value,0,"High LTV, low churn"
CUST-000136,0,2746.08,Google Ads,2024-08-15,South,Low-Value,3,"Low LTV, no churn"
CUST-000137,0,5782.21,Facebook,2024-03-29,East,Medium-Value,2,"Low LTV, no churn"
CUST-000138,0,3861.75,Referral,2023-08-02,West,Medium-Value,1,"Low LTV, no churn"
CUST-000139,0,6051.58,Google Ads,2023-05-10,West,High-Value,2,"Low LTV, no churn"
CUST-000140,0,6439.52,Referral,2024-02-03,East,Low-Value,0,"Low LTV, no churn"
CUST-000141,0,8401.66,Google Ads,2022-08-27,East,Low-Value,0,"High LTV, low churn"
CUST-000142,0,3973.51,Facebook,2024-09-08,South,High-Value,3,"Low LTV, no churn"
CUST-000143,0,612.49,Facebook,2023-01-29,South,Low-Value,3,"Low LTV, no churn"
CUST-000144,0,3779.66,Google Ads,2023-07-31,West,High-Value,3,"Low LTV, no churn"
CUST-000145,1,7029.84,Google Ads,2025-02-25,West,Medium-Value,2,"High LTV, high churn risk"
CUST-000146,0,6012.1,Google Ads,2023-08-12,North,High-Value,2,"Low LTV, no churn"
CUST-000147,1,7796.19,Facebook,2024-07-12,West,Low-Value,0,"High LTV, high churn risk"
CUST-000148,0,2268.44,Google Ads,2023-03-14,South,High-Value,3,"Low LTV, no churn"
CUST-000149,1,9406.06,Facebook,2023-04-28,West,Medium-Value,2,"High LTV, high churn risk"
CUST-000150,1,7158.31,Referral,2023-10-14,West,Medium-Value,2,"High LTV, high churn risk"
CUST-000151,0,7824.63,Facebook,2023-12-20,West,Medium-Value,2,"High LTV, low churn"
CUST-000152,0,6957.69,Organic,2023-06-02,West,High-Value,2,"Low LTV, no churn"
CUST-000153,1,8851.79,Referral,2024-09-30,East,Medium-Value,2,"High LTV, high churn risk"
CUST-000154,0,8869.95,Google Ads,2023-10-23,North,Medium-Value,2,"High LTV, low churn"
CUST-000155,0,9125.89,Facebook,2023-05-25,North,Low-Value,0,"High LTV, low churn"
CUST-000156,0,5432.35,Referral,2025-03-25,North,Medium-Value,2,"Low LTV, no churn"
CUST-000157,0,6980.62,Facebook,2025-04-17,East,High-Value,2,"Low LTV, no churn"
CUST-000158,1,8013.04,Facebook,2023-02-25,East,Medium-Value,2,"High LTV, high churn risk"
CUST-000159,0,1701.61,Facebook,2024-11-02,West,Medium-Value,1,"Low LTV, no churn"
CUST-000160,0,8700.04,Facebook,2024-08-20,East,High-Value,2,"High LTV, low churn"
CUST-000161,0,1970.38,Google Ads,2023-08-28,South,Medium-Value,1,"Low LTV, no churn"
CUST-000162,0,762.46,Google Ads,2024-10-21,South,High-Value,3,"Low LTV, no churn"
CUST-000163,0,3240.93,Google Ads,2025-05-17,South,Medium-Value,1,"Low LTV, no churn"
CUST-000164,0,6793.74,Facebook,2023-05-26,West,Medium-Value,2,"Low LTV, no churn"
CUST-000165,0,2191.72,Referral,2025-03-29,North,Medium-Value,1,"Low LTV, no churn"
CUST-000166,0,3875.12,Facebook,2023-03-06,East,High-Value,3,"Low LTV, no churn"
CUST-000167,0,5526.52,Google Ads,2022-11-26,North,Medium-Value,2,"Low LTV, no churn"
CUST-000168,0,351.83,Organic,2022-10-24,West,High-Value,3,"Low LTV, no churn"
CUST-000169,0,5255.4,Google Ads,2024-04-16,South,High-Value,2,"Low LTV, no churn"
CUST-000170,0,9968.84,Google Ads,2025-04-22,East,High-Value,2,"High LTV, low churn"
CUST-000171,1,1183.51,Google Ads,2023-07-22,South,High-Value,3,"Low LTV, high churn risk"
CUST-000172,0,4903.99,Referral,2023-03-21,West,Medium-Value,1,"Low LTV, no churn"
CUST-000173,0,1140.05,Facebook,2023-11-30,West,Low-Value,3,"Low LTV, no churn"
CUST-000174,0,3601.48,Facebook,2024-05-14,North,Medium-Value,1,"Low LTV, no churn"
CUST-000175,1,9619.25,Referral,2022-10-04,West,Low-Value,0,"High LTV, high churn risk"
CUST-000176,0,3752.15,Facebook,2022-08-20,South,Low-Value,3,"Low LTV, no churn"
CUST-000177,0,2960.67,Google Ads,2022-12-07,West,High-Value,3,"Low LTV, no churn"
CUST-000178,0,8787.1,Google Ads,2025-04-10,South,High-Value,2,"High LTV, low churn"
CUST-000179,0,7018.15,Facebook,2023-12-04,East,Low-Value,0,"High LTV, low churn"
CUST-000180,0,9636.73,Google Ads,2024-01-08,East,High-Value,2,"High LTV, low churn"
CUST-000181,0,8439.63,Referral,2022-10-28,East,Medium-Value,2,"High LTV, low churn"
CUST-000182,0,7528.37,Google Ads,2023-01-25,West,Low-Value,0,"High LTV, low churn"
CUST-000183,0,8149.48,Google Ads,2023-02-03,South,Low-Value,0,"High LTV, low churn"
CUST-000184,0,5666.66,Referral,2024-09-26,South,High-Value,2,"Low LTV, no churn"
CUST-000185,0,2688.97,Google Ads,2024-07-30,North,Medium-Value,1,"Low LTV, no churn"
CUST-000186,1,4205.3,Google Ads,2024-01-22,East,Medium-Value,1,"Low LTV, high churn risk"
CUST-000187,0,8003.56,Referral,2025-04-03,East,Low-Value,0,"High LTV, low churn"
CUST-000188,0,5484.61,Google Ads,2024-07-29,West,Low-Value,0,"Low LTV, no churn"
CUST-000189,0,4778.56,Google Ads,2024-11-30,West,Medium-Value,1,"Low LTV, no churn"
CUST-000190,0,1018.75,Google Ads,2024-01-17,East,High-Value,3,"Low LTV, no churn"
CUST-000191,0,992.36,Google Ads,2023-06-20,North,Medium-Value,1,"Low LTV, no churn"
CUST-000192,1,4962.73,Referral,2022-09-07,West,Low-Value,0,"Low LTV, high churn risk"
CUST-000193,0,5741.49,Google Ads,2024-11-13,South,Medium-Value,2,"Low LTV, no churn"
CUST-000194,0,4156.62,Referral,2023-09-25,North,High-Value,3,"Low LTV, no churn"
CUST-000195,0,578.36,Referral,2023-11-28,North,Medium-Value,1,"Low LTV, no churn"
CUST-000196,0,9889.66,Referral,2024-06-18,West,High-Value,2,"High LTV, low churn"
CUST-000197,0,6953.01,Google Ads,2023-03-31,West,Medium-Value,2,"Low LTV, no churn"
CUST-000198,0,5587.31,Google Ads,2024-09-25,South,High-Value,2,"Low LTV, no churn"
CUST-000199,0,1823.13,Google Ads,2024-11-23,West,Medium-Value,1,"Low LTV, no churn"
CUST-000200,0,6864.37,Facebook,2023-10-18,West,Medium-Value,2,"Low LTV, no churn"
CUST-000201,0,1594.18,Google Ads,2022-10-19,North,Low-Value,3,"Low LTV, no churn"
CUST-000202,0,1937.21,Referral,2024-08-08,East,Medium-Value,1,"Low LTV, no churn"
CUST-000203,0,448.51,Referral,2024-03-26,South,Low-Value,3,"Low LTV, no churn"
CUST-000204,0,3775.75,Google Ads,2024-10-03,East,Low-Value,3,"Low LTV, no churn"
CUST-000205,0,6727.14,Facebook,2025-07-06,East,Medium-Value,2,"Low LTV, no churn"
CUST-000206,0,4706.29,Facebook,2024-01-26,West,Low-Value,0,"Low LTV, no churn"
CUST-000207,0,9624.54,Google Ads,2024-07-09,East,High-Value,2,"High LTV, low churn"
CUST-000208,0,9306.81,Referral,2023-12-03,West,High-Value,2,"High LTV, low churn"
CUST-000209,0,4416.22,Referral,2024-11-03,South,High-Value,3,"Low LTV, no churn"
CUST-000210,0,4749.81,Google Ads,2024-06-14,North,Low-Value,0,"Low LTV, no churn"
CUST-000211,0,7147.5,Google Ads,2025-02-08,West,Medium-Value,2,"High LTV, low churn"
CUST-000212,1,7291.45,Referral,2022-09-25,South,Medium-Value,2,"High LTV, high churn risk"
CUST-000213,0,2899.8,Facebook,2024-07-24,West,Low-Value,3,"Low LTV, no churn"
CUST-000214,0,7035.98,Facebook,2024-12-22,South,Low-Value,0,"High LTV, low churn"
CUST-000215,0,8450.19,Facebook,2024-03-24,East,Medium-Value,2,"High LTV, low churn"
CUST-000216,0,5403.62,Google Ads,2024-09-27,North,Low-Value,0,"Low LTV, no churn"
CUST-000217,1,3854.74,Google Ads,2024-04-21,South,Medium-Value,1,"Low LTV, high churn risk"
CUST-000218,0,5330.88,Referral,2022-12-09,East,Low-Value,0,"Low LTV, no churn"
CUST-000219,0,2618.97,Google Ads,2022-07-09,West,Medium-Value,1,"Low LTV, no churn"
CUST-000220,0,719.71,Organic,2023-07-31,East,Low-Value,3,"Low LTV, no churn"
CUST-000221,1,2004.99,Organic,2025-04-23,West,Low-Value,3,"Low LTV, high churn risk"
CUST-000222,0,4361.62,Google Ads,2024-11-12,East,Medium-Value,1,"Low LTV, no churn"
CUST-000223,0,9637.07,Organic,2023-04-01,South,Low-Value,0,"High LTV, low churn"
CUST-000224,1,7304.37,Google Ads,2023-08-23,North,Low-Value,0,"High LTV, high churn risk"
CUST-000225,0,169.45,Referral,2025-07-07,North,Medium-Value,1,"Low LTV, no churn"
CUST-000226,0,7935.09,Organic,2024-11-27,South,High-Value,2,"High LTV, low churn"
CUST-000227,0,1456.49,Referral,2024-08-02,North,Low-Value,3,"Low LTV, no churn"
CUST-000228,0,9889.45,Referral,2024-10-15,West,Medium-Value,2,"High LTV, low churn"
CUST-000229,0,1194.24,Google Ads,2024-05-29,West,High-Value,3,"Low LTV, no churn"
CUST-000230,0,3886.14,Google Ads,2024-08-22,West,High-Value,3,"Low LTV, no churn"
CUST-000231,0,1651.95,Google Ads,2023-05-07,South,Medium-Value,1,"Low LTV, no churn"
CUST-000232,0,4729.84,Google Ads,2022-12-22,South,Medium-Value,1,"Low LTV, no churn"
CUST-000233,0,7964.42,Facebook,2025-03-31,North,Low-Value,0,"High LTV, low churn"
CUST-000234,0,9377.76,Google Ads,2024-02-21,South,Low-Value,0,"High LTV, low churn"
CUST-000235,0,3103.93,Google Ads,2022-09-27,North,Medium-Value,1,"Low LTV, no churn"
CUST-000236,0,5026.81,Referral,2025-01-07,South,High-Value,2,"Low LTV, no churn"
CUST-000237,0,4418.82,Google Ads,2024-02-15,South,Low-Value,3,"Low LTV, no churn"
CUST-000238,0,1415.77,Referral,2023-07-11,South,High-Value,3,"Low LTV, no churn"
CUST-000239,0,6209.59,Referral,2023-10-18,North,High-Value,2,"Low LTV, no churn"
CUST-000240,0,6599.08,Google Ads,2024-07-23,West,High-Value,2,"Low LTV, no churn"
CUST-000241,0,5315.01,Google Ads,2024-09-03,West,Medium-Value,1,"Low LTV, no churn"
CUST-000242,0,3503.29,Facebook,2024-07-25,North,High-Value,3,"Low LTV, no churn"
CUST-000243,0,6920.28,Google Ads,2024-08-04,East,Low-Value,0,"Low LTV, no churn"
CUST-000244,0,796.5,Referral,2022-08-12,South,Medium-Value,1,"Low LTV, no churn"
CUST-000245,1,9232.14,Facebook,2024-05-29,East,Low-Value,0,"High LTV, high churn risk"
CUST-000246,0,7637.07,Google Ads,2022-08-31,East,High-Value,2,"High LTV, low churn"
CUST-000247,0,9077.2,Referral,2022-07-24,North,High-Value,2,"High LTV, low churn"
CUST-000248,0,2896.36,Facebook,2023-03-04,West,Low-Value,3,"Low LTV, no churn"
CUST-000249,0,4668.97,Facebook,2025-02-25,North,Medium-Value,1,"Low LTV, no churn"
CUST-000250,1,3472.36,Google Ads,2025-07-01,East,Low-Value,3,"Low LTV, high churn risk"
CUST-000251,0,4909.07,Google Ads,2024-05-30,West,High-Value,3,"Low LTV, no churn"
CUST-000252,0,8528.92,Google Ads,2025-01-06,South,Medium-Value,2,"High LTV, low churn"
CUST-000253,0,7353.91,Google Ads,2022-07-16,South,High-Value,2,"High LTV, low churn"
CUST-000254,0,114.63,Google Ads,2025-05-04,North,Medium-Value,1,"Low LTV, no churn"
CUST-000255,1,3778.88,Google Ads,2025-03-24,East,Medium-Value,1,"Low LTV, high churn risk"
CUST-000256,1,6994.7,Google Ads,2023-09-09,West,High-Value,2,"Low LTV, high churn risk"
CUST-000257,0,3302.07,Facebook,2023-07-12,East,High-Value,3,"Low LTV, no churn"
CUST-000258,0,6748.52,Google Ads,2024-03-05,North,Low-Value,0,"Low LTV, no churn"
CUST-000259,0,7600.2,Google Ads,2022-08-09,West,High-Value,2,"High LTV, low churn"
CUST-000260,0,8535.63,Google Ads,2023-03-18,East,Medium-Value,2,"High LTV, low churn"
CUST-000261,0,1123.23,Google Ads,2025-06-17,South,Medium-Value,1,"Low LTV, no churn"
CUST-000262,0,6159.46,Referral,2025-05-07,North,High-Value,2,"Low LTV, no churn"
CUST-000263,0,9832.26,Google Ads,2025-06-09,South,Low-Value,0,"High LTV, low churn"
CUST-000264,1,1166.78,Google Ads,2025-05-26,South,High-Value,3,"Low LTV, high churn risk"
CUST-000265,0,5106.48,Referral,2024-04-05,West,Medium-Value,1,"Low LTV, no churn"
CUST-000266,0,4512.02,Facebook,2023-08-20,East,Low-Value,3,"Low LTV, no churn"
CUST-000267,0,614.97,Google Ads,2022-11-16,East,Low-Value,3,"Low LTV, no churn"
CUST-000268,0,2722.18,Google Ads,2025-02-18,West,Medium-Value,1,"Low LTV, no churn"
CUST-000269,0,2117.55,Referral,2024-07-29,East,Medium-Value,1,"Low LTV, no churn"
CUST-000270,0,6072.97,Organic,2022-08-31,East,Low-Value,0,"Low LTV, no churn"
CUST-000271,0,9896.65,Facebook,2023-06-01,East,High-Value,2,"High LTV, low churn"
CUST-000272,0,7956.58,Referral,2023-11-21,East,High-Value,2,"High LTV, low churn"
CUST-000273,0,4914.16,Google Ads,2024-01-07,East,High-Value,3,"Low LTV, no churn"
CUST-000274,1,7412.21,Facebook,2024-07-07,East,High-Value,2,"High LTV, high churn risk"
CUST-000275,0,4983.22,Google Ads,2023-10-31,North,Low-Value,0,"Low LTV, no churn"
CUST-000276,0,2468.61,Referral,2023-08-12,West,Low-Value,3,"Low LTV, no churn"
CUST-000277,0,3882.99,Facebook,2023-06-08,West,High-Value,3,"Low LTV, no churn"
CUST-000278,0,7742.37,Referral,2024-08-16,South,Medium-Value,2,"High LTV, low churn"
CUST-000279,0,1577.63,Referral,2023-04-01,West,High-Value,3,"Low LTV, no churn"
CUST-000280,0,1773.62,Referral,2025-06-13,West,High-Value,3,"Low LTV, no churn"
CUST-000281,1,4535.59,Google Ads,2023-12-15,South,High-Value,3,"Low LTV, high churn risk"
CUST-000282,0,5980.44,Facebook,2023-09-16,East,Medium-Value,2,"Low LTV, no churn"
CUST-000283,0,8075.02,Google Ads,2022-10-06,South,Medium-Value,2,"High LTV, low churn"
CUST-000284,1,2926.92,Referral,2024-06-25,East,Medium-Value,1,"Low LTV, high churn risk"
CUST-000285,0,6685.07,Facebook,2024-04-30,West,High-Value,2,"Low LTV, no churn"
CUST-000286,0,6203.44,Google Ads,2024-07-02,West,High-Value,2,"Low LTV, no churn"
CUST-000287,0,1284.52,Google Ads,2023-04-04,West,Low-Value,3,"Low LTV, no churn"
CUST-000288,0,9288.13,Google Ads,2023-08-02,West,Low-Value,0,"High LTV, low churn"
CUST-000289,0,3760.84,Referral,2025-05-20,West,Low-Value,3,"Low LTV, no churn"
