shipment_id,product_id,distance_km,region,shipment_mode,shipment_cost
SHIP-000174,SKU-09060,842.92,North,Standard,60.78
SHIP-000175,SKU-08943,564.77,East,Express,223.1
SHIP-000176,SKU-05066,291.36,West,Express,486.66
SHIP-000177,SKU-06004,866.89,South,Standard,462.77
SHIP-000178,SKU-04902,43.93,East,Express,80.44
SHIP-000179,SKU-04509,591.06,West,Express,400.51
SHIP-000180,SKU-04618,523.78,South,Bulk,385.97
SHIP-000181,SKU-05473,989.9,North,Standard,423.93
SHIP-000182,SKU-03127,810.26,East,Express,222.71
SHIP-000183,SKU-08948,770.4,South,Express,308.34
SHIP-000184,SKU-08435,364.37,North,Express,225.88
SHIP-000185,SKU-04867,959.06,North,Standard,73.97
SHIP-000186,SKU-01426,734.23,West,Bulk,472.43
SHIP-000187,SKU-02089,13.58,East,Express,437.53
SHIP-000188,SKU-09680,832.94,East,Bulk,261.12
SHIP-000189,SKU-00589,717.49,East,Standard,204.39
SHIP-000190,SKU-02519,353.02,East,Bulk,244.39
SHIP-000191,SKU-03759,81.33,East,Standard,484.98
SHIP-000192,SKU-00690,65.46,East,Bulk,104.67
SHIP-000193,SKU-00586,620.2,South,Standard,442.19
SHIP-000194,SKU-09976,140.79,East,Express,188.31
SHIP-000195,SKU-05676,23.35,South,Express,94.26
SHIP-000196,SKU-06408,448.43,North,Bulk,210.71
SHIP-000197,SKU-08653,886.78,West,Express,315.42
SHIP-000198,SKU-01963,731.71,South,Bulk,384.95
SHIP-000199,SKU-00259,471.32,South,Express,361.63
SHIP-000200,SKU-07403,355.81,West,Bulk,176.54
SHIP-000201,SKU-00896,641.35,East,Standard,82.27
SHIP-000202,SKU-05652,921.67,East,Standard,476.31
SHIP-000203,SKU-02133,783.54,South,Bulk,482.87
SHIP-000204,SKU-09543,174.94,North,Standard,47.4
SHIP-000205,SKU-05401,735.04,East,Standard,136.67
SHIP-000206,SKU-02022,866.91,West,Bulk,321.69
SHIP-000207,SKU-05630,802.65,East,Bulk,432.18
SHIP-000208,SKU-05703,155.83,North,Bulk,185.61
SHIP-000209,SKU-08573,242.84,East,Express,392.0
SHIP-000210,SKU-01118,861.48,East,Standard,460.42
SHIP-000211,SKU-08381,402.92,North,Bulk,173.15
SHIP-000212,SKU-05787,878.83,East,Standard,287.38
SHIP-000213,SKU-08974,76.13,South,Standard,366.79
SHIP-000214,SKU-09909,85.77,North,Express,394.61
SHIP-000215,SKU-05621,965.55,North,Express,209.74
SHIP-000216,SKU-04006,145.33,South,Express,468.24
SHIP-000217,SKU-01017,409.85,West,Bulk,83.49
SHIP-000218,SKU-08585,558.54,South,Standard,232.63
SHIP-000219,SKU-01592,824.79,North,Express,343.65
SHIP-000220,SKU-06368,488.82,East,Bulk,80.7
SHIP-000221,SKU-00948,561.03,West,Standard,349.11
SHIP-000222,SKU-05029,319.74,North,Bulk,44.17
SHIP-000223,SKU-00931,197.72,East,Express,135.53
SHIP-000224,SKU-09781,563.94,South,Standard,224.06
SHIP-000225,SKU-09714,658.62,South,Standard,165.46
SHIP-000226,SKU-01008,827.18,North,Standard,100.52
SHIP-000227,SKU-03107,671.3,East,Bulk,272.58
SHIP-000228,SKU-09093,461.23,East,Bulk,24.58
SHIP-000229,SKU-02217,326.27,West,Bulk,89.66
SHIP-000230,SKU-05972,96.72,North,Bulk,35.85
SHIP-000231,SKU-00388,654.56,South,Express,196.78
SHIP-000232,SKU-04876,635.62,East,Bulk,60.9
SHIP-000233,SKU-08466,699.22,North,Express,376.92
SHIP-000234,SKU-05799,747.3,South,Standard,380.0
SHIP-000235,SKU-02209,710.65,South,Standard,111.32
SHIP-000236,SKU-03933,156.51,South,Standard,461.55
SHIP-000237,SKU-07744,815.52,North,Express,402.43
SHIP-000238,SKU-05424,283.53,West,Bulk,358.43
SHIP-000239,SKU-09633,148.01,East,Standard,418.46
SHIP-000240,SKU-08487,895.8,East,Bulk,423.58
SHIP-000241,SKU-02551,969.15,North,Express,156.67
SHIP-000242,SKU-09648,814.51,North,Express,147.4
SHIP-000243,SKU-09549,620.95,West,Standard,211.92
SHIP-000244,SKU-05255,682.72,East,Bulk,295.06
SHIP-000245,SKU-01464,153.76,West,Standard,114.13
SHIP-000246,SKU-05812,105.4,East,Express,325.93
SHIP-000247,SKU-08246,287.19,South,Standard,130.13
SHIP-000248,SKU-00416,183.02,South,Express,387.4
SHIP-000249,SKU-00265,174.62,South,Express,70.81
SHIP-000250,SKU-05573,255.02,West,Standard,165.01
SHIP-000251,SKU-02368,679.11,North,Bulk,202.21
SHIP-000252,SKU-09551,578.44,South,Express,186.98
SHIP-000253,SKU-00649,324.69,West,Bulk,450.96
SHIP-000254,SKU-06102,609.08,South,Bulk,330.56
SHIP-000255,SKU-06978,64.54,South,Bulk,364.57
SHIP-000256,SKU-03114,854.76,West,Express,493.81
SHIP-000257,SKU-05831,47.5,South,Express,118.0
SHIP-000258,SKU-06057,423.93,South,Bulk,376.87
SHIP-000259,SKU-02846,353.92,East,Bulk,454.1
SHIP-000260,SKU-04243,445.71,West,Express,450.16
SHIP-000261,SKU-03030,533.87,East,Standard,289.24
SHIP-000262,SKU-05687,18.78,North,Express,458.96
SHIP-000263,SKU-08092,33.33,South,Standard,220.52
SHIP-000264,SKU-09294,881.06,East,Express,388.49
SHIP-000265,SKU-02464,949.15,South,Express,364.92
SHIP-000266,SKU-05447,33.43,North,Bulk,403.58
SHIP-000267,SKU-08871,883.49,East,Standard,414.52
SHIP-000268,SKU-05640,277.75,South,Standard,188.44
SHIP-000269,SKU-09816,581.94,East,Bulk,461.2
SHIP-000270,SKU-05529,545.5,East,Express,358.93
SHIP-000271,SKU-02493,412.9,South,Express,247.96
SHIP-000272,SKU-07918,101.94,West,Standard,364.77
SHIP-000273,SKU-09325,824.81,North,Bulk,179.05
SHIP-000274,SKU-05835,339.64,West,Bulk,83.82
SHIP-000275,SKU-02916,136.45,South,Express,379.67
SHIP-000276,SKU-08918,665.45,North,Express,86.64
SHIP-000277,SKU-08815,882.02,East,Bulk,218.31
SHIP-000278,SKU-09494,708.37,South,Express,82.4
SHIP-000279,SKU-06799,422.65,East,Standard,431.1
SHIP-000280,SKU-04764,613.72,South,Express,212.51
SHIP-000281,SKU-03378,920.97,North,Bulk,46.28
SHIP-000282,SKU-09827,170.87,East,Bulk,125.66
SHIP-000283,SKU-05691,403.97,East,Standard,167.15
SHIP-000284,SKU-04616,256.59,South,Express,262.23
SHIP-000285,SKU-05496,702.45,South,Express,329.43
SHIP-000286,SKU-02378,191.48,East,Express,238.77
SHIP-000287,SKU-06450,731.43,North,Bulk,341.23
SHIP-000288,SKU-04840,251.63,West,Bulk,64.67
SHIP-000289,SKU-01253,840.93,West,Standard,192.14
SHIP-000290,SKU-07481,877.16,West,Bulk,285.85
SHIP-000291,SKU-04785,651.31,West,Standard,153.26
SHIP-000292,SKU-08675,970.22,East,Express,188.39
SHIP-000293,SKU-03389,362.59,South,Bulk,312.51
SHIP-000294,SKU-06899,982.43,North,Express,324.75
SHIP-000295,SKU-06809,182.43,East,Express,343.0
SHIP-000296,SKU-03640,105.85,West,Standard,467.34
SHIP-000297,SKU-07439,389.69,East,Standard,490.48
SHIP-000298,SKU-00341,391.28,West,Bulk,412.24
SHIP-000299,SKU-01392,279.33,East,Bulk,491.97
SHIP-000300,SKU-00843,171.83,West,Standard,375.26
SHIP-000301,SKU-09154,732.52,East,Express,60.27
SHIP-000302,SKU-09716,451.89,East,Express,298.56
SHIP-000303,SKU-06297,749.21,North,Standard,322.1
SHIP-000304,SKU-04184,432.38,East,Standard,362.03
SHIP-000305,SKU-07826,437.08,East,Standard,485.44
SHIP-000306,SKU-08810,155.5,North,Bulk,81.43
SHIP-000307,SKU-08039,150.95,West,Bulk,214.65
SHIP-000308,SKU-08051,111.95,West,Standard,156.05
SHIP-000309,SKU-08908,947.65,West,Bulk,257.57
SHIP-000310,SKU-01396,955.15,South,Express,166.81
SHIP-000311,SKU-08223,71.13,East,Express,187.24
SHIP-000312,SKU-08312,761.13,North,Standard,273.01
SHIP-000313,SKU-05258,184.77,East,Standard,493.56
SHIP-000314,SKU-01984,160.42,East,Bulk,258.31
SHIP-000315,SKU-07202,781.19,West,Bulk,208.38
SHIP-000316,SKU-00701,691.21,South,Express,479.65
SHIP-000317,SKU-08031,859.09,West,Express,242.3
SHIP-000318,SKU-06999,907.88,South,Bulk,488.56
SHIP-000319,SKU-08315,326.63,South,Bulk,158.74
SHIP-000320,SKU-09295,920.87,West,Standard,20.74
SHIP-000321,SKU-07609,125.8,North,Standard,228.09
SHIP-000322,SKU-00916,54.61,East,Standard,39.37
SHIP-000323,SKU-09059,341.35,East,Express,217.04
SHIP-000324,SKU-01662,165.77,North,Bulk,318.73
SHIP-000325,SKU-05331,234.8,South,Standard,323.79
SHIP-000326,SKU-05130,832.26,East,Standard,350.05
SHIP-000327,SKU-04241,353.79,East,Express,231.74
SHIP-000328,SKU-00331,141.04,East,Express,178.85
SHIP-000329,SKU-03938,522.11,North,Standard,292.83
SHIP-000330,SKU-03935,662.79,East,Standard,125.37
SHIP-000331,SKU-02149,367.0,East,Standard,358.37
SHIP-000332,SKU-09906,257.98,South,Express,470.26
SHIP-000333,SKU-03656,719.68,East,Standard,435.63
SHIP-000334,SKU-07223,515.5,North,Bulk,87.88
SHIP-000335,SKU-07176,64.02,East,Standard,262.38
SHIP-000336,SKU-03295,826.28,West,Express,199.5
SHIP-000337,SKU-07672,916.46,West,Standard,149.19
SHIP-000338,SKU-08748,365.69,South,Bulk,469.82
SHIP-000339,SKU-07113,406.25,East,Express,343.34
SHIP-000340,SKU-05772,115.54,North,Express,289.26
SHIP-000341,SKU-02478,567.68,North,Bulk,289.25
SHIP-000342,SKU-02888,150.05,North,Standard,113.79
SHIP-000343,SKU-08567,330.13,West,Express,397.5
SHIP-000344,SKU-04141,599.26,West,Bulk,47.33
SHIP-000345,SKU-06850,871.34,South,Bulk,425.54
SHIP-000346,SKU-02622,569.04,North,Bulk,301.41
SHIP-000347,SKU-07907,585.42,West,Standard,395.1
SHIP-000348,SKU-09943,106.12,West,Bulk,83.01
SHIP-000349,SKU-09989,154.14,South,Standard,479.45
SHIP-000350,SKU-08380,284.89,South,Standard,110.97
SHIP-000351,SKU-02652,382.91,West,Express,260.77
SHIP-000352,SKU-09965,237.24,South,Express,381.7
SHIP-000353,SKU-02270,928.01,West,Express,231.6
SHIP-000354,SKU-01596,474.52,East,Express,435.16
SHIP-000355,SKU-07574,211.99,West,Bulk,198.62
SHIP-000356,SKU-08054,175.2,West,Standard,295.94
SHIP-000357,SKU-03279,22.33,West,Standard,184.8
SHIP-000358,SKU-01485,250.75,East,Express,104.48
SHIP-000359,SKU-09218,598.66,North,Standard,150.33
SHIP-000360,SKU-03354,913.47,North,Express,48.89
SHIP-000361,SKU-08658,329.34,West,Standard,326.22
SHIP-000362,SKU-04781,908.73,East,Standard,201.96
SHIP-000363,SKU-04145,824.24,South,Bulk,181.3
SHIP-000364,SKU-04286,788.99,East,Standard,102.3
SHIP-000365,SKU-02823,109.37,South,Express,203.05
SHIP-000366,SKU-00764,436.17,West,Bulk,321.1
SHIP-000367,SKU-00083,112.1,West,Bulk,308.4
SHIP-000368,SKU-05987,880.38,East,Express,489.69
SHIP-000369,SKU-02138,889.99,West,Express,299.16
SHIP-000370,SKU-07490,902.78,North,Bulk,432.55
SHIP-000371,SKU-07806,870.68,East,Express,466.99
SHIP-000372,SKU-09013,111.18,North,Standard,81.23
SHIP-000373,SKU-01069,537.37,East,Express,246.2
SHIP-000374,SKU-09286,923.57,West,Standard,283.21
SHIP-000375,SKU-05459,995.61,West,Standard,415.67
SHIP-000376,SKU-04287,223.26,South,Bulk,303.51
SHIP-000377,SKU-08860,644.82,South,Bulk,36.87
SHIP-000378,SKU-04021,988.92,East,Express,455.31
SHIP-000379,SKU-02298,918.31,North,Standard,272.46
SHIP-000380,SKU-01068,769.33,West,Bulk,367.02
SHIP-000381,SKU-05412,487.41,North,Bulk,45.19
SHIP-000382,SKU-07628,997.09,South,Standard,103.11
SHIP-000383,SKU-03457,771.53,West,Standard,228.78
SHIP-000384,SKU-08408,832.29,East,Standard,285.78
SHIP-000385,SKU-04862,412.5,West,Express,232.75
SHIP-000386,SKU-08651,388.42,East,Express,108.37
SHIP-000387,SKU-02920,490.54,North,Bulk,428.72
SHIP-000388,SKU-02178,295.96,South,Standard,324.41
SHIP-000389,SKU-01961,781.29,South,Bulk,383.34
SHIP-000390,SKU-08482,527.0,South,Express,423.07
SHIP-000391,SKU-05906,211.26,East,Standard,110.78
SHIP-000392,SKU-07301,57.25,West,Express,297.36
SHIP-000393,SKU-04973,726.57,North,Bulk,498.54
SHIP-000394,SKU-08532,971.6,South,Bulk,189.41
SHIP-000395,SKU-09605,443.47,East,Express,359.66
SHIP-000396,SKU-09662,159.64,South,Standard,100.93
SHIP-000397,SKU-08458,109.98,South,Bulk,306.67
SHIP-000398,SKU-05294,35.7,West,Bulk,444.24
SHIP-000399,SKU-06644,989.01,North,Bulk,199.96
SHIP-000400,SKU-07392,187.06,North,Standard,79.33
SHIP-000401,SKU-01828,864.71,South,Standard,236.55
SHIP-000402,SKU-00695,430.92,East,Bulk,390.31
SHIP-000403,SKU-09354,289.7,West,Standard,280.04
SHIP-000404,SKU-03687,34.11,West,Standard,288.65
SHIP-000405,SKU-06809,244.38,North,Bulk,81.86
SHIP-000406,SKU-07286,434.46,West,Express,225.95
SHIP-000407,SKU-07603,207.04,North,Express,454.48
SHIP-000408,SKU-09546,414.23,South,Express,363.9
SHIP-000409,SKU-05381,39.87,North,Express,26.87
SHIP-000410,SKU-01271,711.05,North,Standard,384.81
SHIP-000411,SKU-05462,86.93,East,Standard,277.5
SHIP-000412,SKU-06163,876.68,East,Bulk,123.15
SHIP-000413,SKU-04708,55.61,South,Bulk,186.67
SHIP-000414,SKU-08159,965.4,East,Standard,294.77
SHIP-000415,SKU-05910,280.88,South,Standard,387.15
SHIP-000416,SKU-04322,657.55,East,Bulk,34.99
SHIP-000417,SKU-03444,16.7,East,Express,288.45
SHIP-000418,SKU-01547,60.31,West,Standard,140.67
SHIP-000419,SKU-07713,152.11,North,Bulk,323.93
SHIP-000420,SKU-09527,885.65,North,Standard,380.47
SHIP-000421,SKU-00527,439.44,West,Express,194.13
SHIP-000422,SKU-03103,403.25,North,Standard,482.19
SHIP-000423,SKU-08019,795.43,North,Express,68.74
SHIP-000424,SKU-06986,255.26,East,Bulk,159.05
SHIP-000425,SKU-02603,202.22,South,Bulk,378.37
SHIP-000426,SKU-06150,519.79,East,Bulk,474.57
SHIP-000427,SKU-04252,76.47,South,Express,298.48
SHIP-000428,SKU-06305,892.64,North,Express,184.19
SHIP-000429,SKU-03869,695.1,West,Express,275.63
SHIP-000430,SKU-01481,283.69,North,Standard,354.45
SHIP-000431,SKU-04001,228.46,West,Standard,94.56
SHIP-000432,SKU-05364,471.07,North,Standard,282.62
SHIP-000433,SKU-01609,58.4,North,Bulk,98.97
SHIP-000434,SKU-08413,54.94,East,Standard,233.17
SHIP-000435,SKU-01774,833.48,North,Express,394.32
SHIP-000436,SKU-04928,899.45,East,Bulk,303.34
SHIP-000437,SKU-08284,396.47,North,Express,315.86
SHIP-000438,SKU-03791,33.61,North,Express,32.42
SHIP-000439,SKU-07374,942.22,South,Bulk,481.61
SHIP-000440,SKU-01004,433.34,North,Express,458.69
SHIP-000441,SKU-02820,984.32,East,Standard,396.15
SHIP-000442,SKU-02993,127.47,West,Bulk,281.85
SHIP-000443,SKU-05523,298.74,East,Bulk,458.38
SHIP-000444,SKU-05549,215.88,West,Bulk,468.21
SHIP-000445,SKU-03660,456.49,North,Express,129.13
SHIP-000446,SKU-05603,223.46,East,Express,343.63
SHIP-000447,SKU-07589,957.65,East,Standard,294.36
SHIP-000448,SKU-04650,179.98,North,Express,22.37
SHIP-000449,SKU-06272,571.11,West,Bulk,375.87
SHIP-000450,SKU-00295,939.73,North,Bulk,489.37
SHIP-000451,SKU-07913,907.44,North,Express,316.88
SHIP-000452,SKU-02050,523.98,North,Bulk,236.18
SHIP-000453,SKU-05021,552.3,West,Standard,116.15
SHIP-000454,SKU-03098,705.12,West,Standard,484.97
SHIP-000455,SKU-03066,441.37,South,Express,282.11
SHIP-000456,SKU-09219,644.39,North,Standard,75.96
SHIP-000457,SKU-05134,171.47,South,Bulk,300.78
SHIP-000458,SKU-09942,694.61,East,Express,62.68
SHIP-000459,SKU-01510,689.51,South,Express,258.46
SHIP-000460,SKU-03298,197.82,East,Standard,98.83
SHIP-000461,SKU-08300,179.39,South,Bulk,155.9
SHIP-000462,SKU-03620,762.03,West,Bulk,53.44
SHIP-000463,SKU-08376,603.66,West,Express,264.14
SHIP-000464,SKU-04531,13.38,South,Bulk,174.04
SHIP-000465,SKU-03913,555.95,West,Express,327.05
SHIP-000466,SKU-07695,402.95,West,Standard,58.47
SHIP-000467,SKU-09505,739.23,South,Express,162.05
SHIP-000468,SKU-00442,32.79,East,Express,134.05
SHIP-000469,SKU-02478,434.56,East,Express,208.59
SHIP-000470,SKU-03416,621.53,South,Express,67.71
SHIP-000471,SKU-06688,945.24,South,Standard,75.64
SHIP-000472,SKU-06831,919.84,South,Standard,366.58
SHIP-000473,SKU-06097,399.22,East,Standard,449.51
SHIP-000474,SKU-00787,311.6,South,Standard,357.38
SHIP-000475,SKU-08357,372.25,West,Standard,186.98
SHIP-000476,SKU-09072,583.74,East,Express,382.73
SHIP-000477,SKU-01824,862.57,West,Express,259.27
SHIP-000478,SKU-03594,502.29,South,Standard,353.41
SHIP-000479,SKU-00967,958.98,North,Express,107.65
SHIP-000480,SKU-09241,975.71,West,Bulk,336.65
