supplier_id,name,industry,location,supplier_size,product_supplied,on_time_delivery,defect_rate,payment_delay_days,escalation_count,penalty_count,contract_duration_months,renewal_status,cost_per_unit,business_criticality,risk_score,recommended_action
SUP-01023,"Reyes, Ortiz and Weber",Chemicals,Mirandaland,Medium,Transport Services,76.1,,9.0,3,1,14,Renewed,522.43,High,30,Renew
SUP-01024,Moreno PLC,Electronics,West Tonyachester,Small,Transport Services,84.0,1.37,1.0,2,0,23,Renewed,179.2,High,88,Terminate
SUP-01025,Compton Inc,Electronics,Kaylaland,Medium,Chips,81.6,2.72,3.0,3,0,42,Not Renewed,751.09,High,86,Renew
SUP-01026,"Mahoney, Williams and Chen",Logistics,Danielfort,Medium,Transport Services,98.1,3.43,3.0,2,0,15,Renewed,27.21,Low,55,Terminate
SUP-01027,"Burton, Burgess and Lawrence",Pharma,Middletonfort,Medium,Chips,83.4,2.37,4.0,0,0,14,Not Renewed,759.61,Medium,61,Renegotiate
SUP-01028,Baker-Thompson,Electronics,New Leah,Medium,Cleaning Agents,79.3,2.1,8.0,1,1,13,Renewed,608.15,High,10,Renegotiate
SUP-01029,"Reed, Ferguson and Giles",Chemicals,Lake Josephtown,Small,Vaccines,87.0,2.96,17.0,2,0,31,Not Renewed,48.85,High,35,Renew
SUP-01030,Skinner-Watson,Pharma,New Jessicafurt,Medium,Motors,86.4,1.88,,0,1,28,Renewed,862.78,Medium,25,Renew
SUP-01031,Hawkins-Perkins,Electronics,North Deborah,Large,Transport Services,90.6,2.69,,0,0,18,Not Renewed,574.82,Medium,22,Terminate
SUP-01032,"Gonzalez, Davenport and Garcia",Chemicals,Santanaburgh,Medium,Motors,94.2,3.32,3.0,1,1,44,Not Renewed,770.21,Low,45,Renegotiate
SUP-01033,"Hanson, Lewis and Payne",Chemicals,East Madeline,Large,Transport Services,78.7,1.6,,2,1,9,Renewed,528.5,Low,69,Renegotiate
SUP-01034,Hatfield-Calderon,Electronics,Rosschester,Medium,Motors,77.9,5.68,9.0,1,0,31,Renewed,891.54,High,64,Renew
SUP-01035,"Robertson, Mckee and Osborne",Electronics,North Gabriellaview,Medium,Transport Services,89.8,2.73,11.0,2,0,40,Not Renewed,179.09,Medium,39,Terminate
SUP-01036,Cunningham Ltd,Automotive,West Joseph,Medium,Cleaning Agents,84.7,2.37,,1,0,41,Renewed,923.01,High,72,Renew
SUP-01037,"Patel, Beasley and Gray",Automotive,West Johnton,Medium,Chips,75.2,0.53,1.0,3,1,13,Renewed,969.18,Medium,70,Renew
SUP-01038,"Brooks, Morrison and Velasquez",Logistics,New Michelle,Medium,Chips,81.2,3.15,12.0,2,0,14,Renewed,864.17,High,77,Renew
SUP-01039,Guzman PLC,Pharma,Gilmorechester,Large,Cleaning Agents,78.3,0.71,,0,2,47,Not Renewed,846.95,High,89,Renegotiate
SUP-01040,Yu-Allison,Pharma,West Eduardoland,Large,Motors,75.0,,15.0,1,0,17,Not Renewed,540.77,Medium,10,Renew
SUP-01041,White-Evans,Pharma,South Todd,Medium,Chips,95.2,3.5,11.0,2,0,16,Not Renewed,688.56,High,53,Renegotiate
SUP-01042,Lopez Ltd,Logistics,East Samantha,Medium,Cleaning Agents,78.9,2.02,4.0,2,0,22,Not Renewed,542.16,Medium,16,Renew
SUP-01043,Brown-Hanson,Electronics,West Sarah,Medium,Cleaning Agents,99.4,3.19,4.0,3,0,26,Not Renewed,404.99,Medium,74,Renew
SUP-01044,Houston PLC,Automotive,Davidfort,Medium,Transport Services,77.5,4.32,4.0,1,1,16,Renewed,340.98,Medium,24,Renew
SUP-01045,"Gonzales, Evans and Perez",Automotive,Markmouth,Medium,Vaccines,87.9,3.58,11.0,0,0,33,Not Renewed,276.04,High,76,Renew
SUP-01046,"Adams, Miller and Davenport",Automotive,Westchester,Small,Vaccines,72.0,,7.0,1,0,25,Not Renewed,423.47,Low,27,Renew
SUP-01047,Benson-Mccullough,Automotive,Angelastad,Medium,Cleaning Agents,99.5,0.51,5.0,0,0,11,Renewed,804.65,High,55,Renew
SUP-01048,Smith-Campbell,Logistics,Johnfurt,Small,Cleaning Agents,87.5,1.34,5.0,2,1,11,Not Renewed,561.05,High,56,Renew
SUP-01049,Mcdowell-Snyder,Automotive,North Colleen,Medium,Cleaning Agents,98.3,4.86,3.0,0,1,17,Not Renewed,460.63,Low,23,Renew
SUP-01050,Zuniga PLC,Automotive,Lake Daniellestad,Small,Transport Services,,3.2,9.0,0,0,40,Not Renewed,592.9,Low,20,Renegotiate
SUP-01051,"Woods, Schmitt and Barnes",Electronics,West Rachaelmouth,Medium,Cleaning Agents,81.2,2.24,1.0,0,0,8,Not Renewed,124.79,Medium,39,Renegotiate
SUP-01052,"Dean, Garcia and Thompson",Chemicals,Lake Dustin,Medium,Cleaning Agents,83.8,0.92,5.0,1,0,14,Renewed,82.95,Medium,12,Renegotiate
SUP-01053,Duran-Winters,Pharma,Contrerasmouth,Large,Motors,88.9,1.77,6.0,0,1,36,Renewed,991.44,Medium,91,Renew
SUP-01054,Barnett-Levine,Chemicals,Richardmouth,Medium,Cleaning Agents,82.1,2.68,13.0,0,0,41,Not Renewed,884.2,Low,24,Renew
SUP-01055,Daugherty PLC,Logistics,East Stephanie,Large,Cleaning Agents,78.0,3.83,2.0,0,1,7,Renewed,770.87,Medium,24,Renegotiate
SUP-01056,Pacheco-Lyons,Automotive,South Matthewborough,Medium,Cleaning Agents,74.6,3.27,14.0,0,1,25,Renewed,850.44,Low,33,Renew
SUP-01057,"Russo, Brown and White",Automotive,Melaniechester,Medium,Vaccines,87.1,0.33,4.0,1,0,31,Renewed,742.87,High,36,Renew
SUP-01058,Edwards-Morris,Automotive,Lake Jenniferberg,Small,Cleaning Agents,79.2,0.4,16.0,1,1,37,Not Renewed,442.75,Medium,17,Renegotiate
SUP-01059,"Evans, Wells and Knight",Logistics,Edwinville,Small,Vaccines,82.9,3.92,16.0,2,0,37,Not Renewed,440.66,High,32,Renew
SUP-01060,Buck PLC,Pharma,East Michaelchester,Large,Cleaning Agents,71.9,3.56,,1,0,28,Renewed,534.22,High,21,Renew
SUP-01061,Lindsey-Garner,Automotive,Mcconnelltown,Medium,Chips,75.2,3.34,1.0,2,1,44,Not Renewed,477.64,High,13,Renew
SUP-01062,Huber-Wyatt,Electronics,Frybury,Medium,Cleaning Agents,84.4,4.55,0.0,1,1,43,Renewed,326.88,High,31,Terminate
SUP-01063,Kelly Ltd,Electronics,Dianafort,Medium,Cleaning Agents,89.6,1.68,3.0,2,1,28,Not Renewed,846.48,Medium,37,Renegotiate
SUP-01064,"Strong, Montoya and Bush",Electronics,Bishopshire,Medium,Cleaning Agents,68.7,0.84,6.0,0,1,19,Renewed,229.81,Low,76,Renegotiate
SUP-01065,Valdez PLC,Logistics,New Robertton,Small,Motors,96.2,1.04,7.0,1,1,39,Not Renewed,654.77,High,44,Renegotiate
SUP-01066,Mccormick-Dixon,Pharma,Singhside,Small,Cleaning Agents,84.7,,2.0,2,1,35,Not Renewed,301.34,Medium,82,Renegotiate
SUP-01067,"Nguyen, Lopez and Wells",Pharma,Courtneyville,Large,Motors,92.1,2.81,19.0,0,0,29,Not Renewed,386.24,High,91,Renew
SUP-01068,Armstrong-Morgan,Pharma,Meadowsland,Medium,Motors,89.7,2.12,7.0,0,0,12,Renewed,510.8,Low,43,Renegotiate
SUP-01069,Allen-Nelson,Pharma,Port Micheleberg,Medium,Vaccines,82.9,2.16,11.0,2,1,18,Renewed,461.45,Medium,59,Renew
SUP-01070,Mcgee-Bishop,Automotive,South Jeffrey,Medium,Vaccines,90.8,1.98,3.0,2,2,29,Renewed,369.22,Low,11,Renew
SUP-01071,Boyd-Phillips,Chemicals,North Jamesstad,Large,Chips,90.5,1.11,5.0,1,0,14,Renewed,484.83,Medium,86,Renew
SUP-01072,Cooper-Johnson,Logistics,Kathleenview,Medium,Transport Services,78.9,1.25,16.0,1,0,25,Renewed,100.24,Low,22,Renew
SUP-01073,Horne Inc,Pharma,East Alisonburgh,Medium,Motors,93.9,2.38,21.0,1,0,27,Not Renewed,433.28,Medium,40,Renew
SUP-01074,Williams PLC,Pharma,Gregoryburgh,Medium,Vaccines,72.7,1.77,2.0,2,0,9,Renewed,122.51,Low,56,Renegotiate
SUP-01075,Hamilton LLC,Electronics,Lake Katelyn,Medium,Cleaning Agents,72.1,0.77,2.0,0,0,37,Renewed,46.05,Medium,71,Renew
SUP-01076,"Miller, Edwards and Smith",Chemicals,West Luischester,Large,Cleaning Agents,89.8,2.24,10.0,0,1,34,Not Renewed,718.94,Low,12,Terminate
SUP-01077,Turner-Carey,Chemicals,South Jenniferbury,Small,Motors,85.7,0.21,8.0,1,0,10,Not Renewed,838.98,Medium,73,Renew
SUP-01078,"Mosley, Davis and Rojas",Pharma,Frankfort,Medium,Vaccines,82.8,5.04,7.0,1,0,13,Renewed,814.82,Medium,59,Terminate
SUP-01079,"Jones, Hayes and Lewis",Chemicals,Harrisonmouth,Small,Chips,96.6,2.12,9.0,2,1,36,Renewed,903.14,High,10,Renegotiate
SUP-01080,Brown-Hanson,Electronics,Thomasstad,Large,Cleaning Agents,90.5,2.33,7.0,2,1,32,Renewed,488.56,Low,25,Renew
SUP-01081,"Bates, Hodges and Jackson",Logistics,New Chadberg,Large,Cleaning Agents,74.6,0.55,5.0,2,0,46,Renewed,135.01,Low,92,Renew
SUP-01082,Shaffer-Rivas,Pharma,North Jessica,Small,Cleaning Agents,89.2,1.71,3.0,1,0,43,Renewed,497.69,Low,46,Renew
SUP-01083,Riley-Steele,Logistics,South Karen,Small,Chips,82.1,3.69,4.0,2,0,16,Renewed,419.42,High,17,Terminate
SUP-01084,Page Inc,Automotive,West Joshuatown,Medium,Transport Services,70.8,,4.0,0,0,19,Not Renewed,421.18,High,39,Renegotiate
SUP-01085,"Francis, Stephens and Santiago",Chemicals,New Patriciabury,Medium,Vaccines,87.6,2.93,15.0,2,1,8,Not Renewed,168.52,High,20,Renegotiate
SUP-01086,"Salazar, Christian and Miller",Automotive,East Jacob,Large,Cleaning Agents,92.1,5.63,8.0,1,0,12,Renewed,883.07,High,88,Renew
SUP-01087,Wagner Group,Chemicals,West Amy,Small,Cleaning Agents,85.9,2.99,3.0,1,0,40,Renewed,880.42,Medium,22,Renew
SUP-01088,"Howard, Gordon and Hartman",Chemicals,Lake Dominic,Medium,Cleaning Agents,70.2,1.01,8.0,0,0,7,Renewed,378.9,High,65,Renegotiate
SUP-01089,Yu Ltd,Chemicals,Port Cassandraberg,Small,Vaccines,92.9,5.07,2.0,1,1,23,Not Renewed,984.19,High,68,Renegotiate
SUP-01090,Sampson-Perez,Pharma,Davisland,Medium,Transport Services,88.2,1.38,8.0,1,0,19,Renewed,598.8,Low,85,Renew
SUP-01091,"Brown, Olsen and Garcia",Pharma,Ginashire,Medium,Chips,86.9,0.1,23.0,2,0,41,Renewed,151.14,Low,44,Renew
SUP-01092,Collins Group,Chemicals,Lake Kelly,Medium,Chips,82.5,2.37,3.0,0,0,13,Renewed,69.73,Medium,14,Renegotiate
SUP-01093,"Carlson, Harper and Green",Electronics,Jodiview,Medium,Cleaning Agents,85.1,2.96,2.0,1,1,29,Not Renewed,406.43,Medium,37,Renegotiate
SUP-01094,Nguyen-Castillo,Automotive,North Alejandroberg,Large,Chips,,,1.0,1,1,20,Renewed,137.59,High,73,Renegotiate
SUP-01095,"Schultz, Johnston and Parks",Logistics,New Johnfurt,Small,Transport Services,84.5,1.66,11.0,0,0,47,Renewed,411.42,Medium,32,Terminate
SUP-01096,Chambers-Patel,Pharma,West David,Medium,Motors,97.2,3.37,2.0,2,0,25,Renewed,233.15,Low,34,Renew
SUP-01097,"Goodwin, Ramsey and Ho",Logistics,Tannerport,Medium,Transport Services,68.8,3.41,12.0,0,0,30,Not Renewed,582.62,High,66,Renew
SUP-01098,Nelson-Rios,Electronics,Vincentport,Medium,Cleaning Agents,86.5,2.01,16.0,3,1,45,Not Renewed,67.15,Medium,71,Renew
SUP-01099,"Burton, Robinson and Davis",Logistics,Janetborough,Large,Transport Services,100.6,3.0,10.0,0,1,16,Renewed,308.73,Medium,47,Renew
SUP-01100,"Young, Becker and Roberts",Automotive,Michelefort,Medium,Cleaning Agents,94.1,1.77,,1,0,30,Renewed,156.26,Medium,82,Renew
SUP-01101,"Graham, Hall and Flores",Chemicals,Brianabury,Large,Motors,89.6,1.8,2.0,0,0,39,Renewed,893.29,High,76,Renegotiate
SUP-01102,Anderson-Hawkins,Automotive,East Elizabethmouth,Small,Transport Services,86.1,1.49,3.0,0,0,31,Not Renewed,871.92,High,88,Renew
SUP-01103,"Whitehead, Garcia and Patterson",Pharma,New Karen,Large,Transport Services,92.6,3.09,4.0,2,1,29,Not Renewed,967.61,High,18,Terminate
SUP-01104,"Johnson, Guzman and Mccarthy",Chemicals,Thomastown,Small,Cleaning Agents,85.8,,8.0,0,0,8,Renewed,470.03,Medium,34,Renegotiate
SUP-01105,Wright Ltd,Automotive,Adamston,Medium,Vaccines,93.3,1.22,11.0,4,1,45,Not Renewed,188.38,High,24,Terminate
SUP-01106,Lloyd and Sons,Logistics,North Ericstad,Large,Motors,72.4,0.32,16.0,0,1,21,Renewed,441.01,High,24,Renegotiate
SUP-01107,Baker Group,Chemicals,Lisaside,Large,Motors,80.6,3.75,1.0,0,0,29,Renewed,865.11,Medium,14,Terminate
SUP-01108,"Martinez, Adams and Espinoza",Chemicals,North Angelatown,Medium,Transport Services,98.4,2.52,18.0,0,0,43,Not Renewed,990.31,Low,73,Renew
SUP-01109,"Rodriguez, Robinson and Hernandez",Automotive,West Reneestad,Medium,Transport Services,81.8,4.29,3.0,2,0,40,Renewed,67.84,Medium,45,Renew
SUP-01110,Morse-Harris,Pharma,Susanstad,Medium,Motors,87.7,0.37,14.0,1,1,38,Renewed,332.41,High,87,Terminate
SUP-01111,Morales PLC,Logistics,Hoffmanmouth,Large,Motors,75.7,2.75,6.0,2,1,19,Renewed,874.88,Medium,36,Renew
SUP-01112,Odonnell Ltd,Electronics,South Kristina,Medium,Transport Services,98.4,3.29,2.0,0,1,24,Renewed,294.11,High,55,Renew
SUP-01113,Wells Inc,Pharma,Port Stephaniemouth,Small,Cleaning Agents,81.5,2.6,1.0,0,1,22,Not Renewed,860.22,Low,20,Renew
SUP-01114,Williams-Spencer,Electronics,East Jessica,Small,Vaccines,80.3,3.0,25.0,2,1,22,Renewed,18.45,Medium,75,Terminate
SUP-01115,Porter-Rojas,Chemicals,New Courtney,Medium,Transport Services,97.2,3.18,3.0,0,0,19,Not Renewed,606.63,Medium,47,Renegotiate
SUP-01116,Smith Group,Logistics,South Kristin,Medium,Transport Services,72.3,2.48,4.0,2,1,43,Renewed,90.64,Medium,14,Renew
SUP-01117,Small-Larson,Automotive,Websterburgh,Small,Motors,84.5,3.17,10.0,1,1,47,Not Renewed,129.49,High,30,Terminate
SUP-01118,Jensen-Marquez,Pharma,West Colinstad,Small,Motors,83.5,2.88,4.0,2,0,43,Not Renewed,936.81,Medium,52,Renew
SUP-01119,Gonzalez LLC,Pharma,South Nicoleshire,Small,Vaccines,91.8,3.22,5.0,0,0,36,Renewed,688.9,High,70,Renew
SUP-01120,Lewis and Sons,Chemicals,Lake Michaelbury,Medium,Transport Services,92.8,1.9,6.0,1,0,24,Renewed,886.66,Low,79,Renew
SUP-01121,"Miller, Grant and Smith",Automotive,Ponceburgh,Small,Vaccines,82.6,3.07,18.0,0,1,10,Renewed,758.23,Low,35,Terminate
SUP-01122,Zavala-Powell,Automotive,North Robert,Medium,Vaccines,90.8,0.35,11.0,0,0,12,Renewed,214.56,High,62,Renew
SUP-01123,"Adams, Harris and Schaefer",Pharma,South Vanessafort,Medium,Cleaning Agents,76.5,6.13,15.0,2,0,34,Not Renewed,504.94,Medium,32,Renew
SUP-01124,Cruz and Sons,Chemicals,New Rachelhaven,Large,Chips,78.3,,,1,0,22,Renewed,356.1,High,92,Renegotiate
SUP-01125,Kennedy-Taylor,Automotive,Jeffreyville,Medium,Cleaning Agents,90.2,3.7,14.0,1,0,24,Not Renewed,390.06,Medium,36,Renew
SUP-01126,Greene PLC,Automotive,Port Kevin,Small,Transport Services,86.0,5.37,,0,0,9,Renewed,403.92,High,45,Renew
SUP-01127,Brock Inc,Automotive,West Brian,Medium,Motors,82.8,2.85,20.0,4,0,45,Renewed,460.89,Medium,15,Renegotiate
SUP-01128,Smith LLC,Electronics,West Jessica,Medium,Transport Services,79.9,4.19,1.0,1,0,17,Renewed,46.91,Low,92,Renew
SUP-01129,"Weeks, Walker and Miller",Pharma,Jenniferfort,Medium,Motors,73.1,4.45,1.0,0,1,36,Renewed,684.21,Low,71,Terminate
SUP-01130,"Harding, Mayer and Burnett",Pharma,Janeland,Medium,Motors,88.3,1.4,18.0,1,0,30,Not Renewed,196.51,High,60,Renegotiate
SUP-01131,"Cross, Sanchez and Lang",Electronics,Savannahchester,Medium,Motors,77.1,2.7,16.0,2,1,29,Not Renewed,293.97,High,77,Renew
SUP-01132,Castaneda-Munoz,Chemicals,North Stanley,Small,Motors,81.8,1.57,17.0,2,0,29,Renewed,458.3,High,64,Renegotiate
SUP-01133,Li-Torres,Electronics,Carterburgh,Medium,Motors,91.6,0.47,14.0,0,0,32,Not Renewed,657.32,Medium,68,Renew
SUP-01134,"Perez, Barton and Porter",Electronics,East Maryborough,Large,Motors,88.6,3.09,10.0,1,0,37,Renewed,313.09,Medium,77,Renew
SUP-01135,Watts-Bauer,Automotive,Nicoleburgh,Large,Cleaning Agents,64.1,0.97,6.0,1,0,28,Not Renewed,63.37,Medium,69,Renegotiate
SUP-01136,"Ellis, Peterson and Wagner",Pharma,Samanthaberg,Medium,Motors,68.5,1.37,13.0,3,1,27,Renewed,317.77,High,50,Terminate
SUP-01137,Watson-Brown,Logistics,Lake Gregory,Medium,Chips,68.6,1.92,23.0,1,1,40,Not Renewed,847.76,High,51,Renew
SUP-01138,Nunez-Soto,Pharma,West Rickymouth,Large,Vaccines,82.7,2.52,17.0,1,0,45,Renewed,902.86,Medium,51,Renegotiate
SUP-01139,Pitts-Beck,Electronics,Benjaminfort,Small,Motors,82.7,2.97,9.0,0,1,45,Not Renewed,390.84,High,64,Renew
SUP-01140,Anderson Ltd,Chemicals,New Jefferyfurt,Large,Motors,81.7,0.39,6.0,2,1,33,Not Renewed,763.22,Medium,70,Renew
SUP-01141,Randall-Summers,Electronics,Hollyborough,Large,Chips,89.4,0.81,6.0,2,0,31,Renewed,177.78,Medium,59,Renew
SUP-01142,"Wong, Walsh and Contreras",Pharma,West Javier,Small,Chips,91.0,3.3,16.0,2,0,46,Not Renewed,165.6,Low,40,Renew
SUP-01143,Oconnor-Rowland,Automotive,Davisside,Small,Chips,85.0,2.53,0.0,0,0,15,Renewed,231.72,High,25,Renegotiate
SUP-01144,Gomez-Livingston,Electronics,New Anthonybury,Medium,Transport Services,80.8,3.57,5.0,0,0,29,Renewed,315.62,Low,54,Renew
SUP-01145,Wyatt-Brown,Logistics,Morenomouth,Small,Chips,92.6,2.62,7.0,1,0,13,Renewed,606.38,High,39,Renew
SUP-01146,Gomez-Lamb,Electronics,Melanieberg,Medium,Motors,84.9,1.81,9.0,0,2,20,Renewed,20.34,Medium,52,Renew
SUP-01147,Walker and Sons,Automotive,Port Sarahberg,Large,Chips,81.5,2.28,4.0,1,1,24,Not Renewed,688.7,High,91,Renew
SUP-01148,Brooks Group,Chemicals,South Andrewland,Small,Vaccines,69.8,1.63,9.0,1,0,22,Renewed,647.91,Medium,16,Renegotiate
SUP-01149,Brown-Moody,Chemicals,Myersville,Medium,Cleaning Agents,98.6,0.17,17.0,2,1,23,Renewed,545.17,Medium,40,Terminate
SUP-01150,Powell PLC,Electronics,North Steven,Medium,Motors,86.8,1.74,23.0,2,1,33,Renewed,116.25,Medium,34,Renegotiate
SUP-01151,Davila LLC,Logistics,Port Wendyton,Medium,Motors,83.1,2.08,13.0,2,0,12,Not Renewed,124.67,Low,91,Renew
SUP-01152,"Collins, Hardy and Stewart",Automotive,West James,Small,Chips,102.3,2.82,9.0,1,1,39,Renewed,480.06,High,63,Renew
SUP-01153,"Jones, Graham and Brown",Chemicals,South Dylanberg,Medium,Chips,72.1,2.36,5.0,0,0,34,Renewed,393.04,Low,12,Renew
SUP-01154,Anderson PLC,Logistics,Port Janice,Medium,Motors,81.5,2.15,3.0,1,0,26,Renewed,703.41,Medium,17,Renew
SUP-01155,"Hess, Bowman and Robinson",Electronics,Amandaton,Small,Motors,86.9,1.53,2.0,0,1,8,Not Renewed,732.19,High,68,Renew
SUP-01156,Stein-Barnes,Electronics,Villaside,Large,Chips,74.7,4.4,3.0,1,0,41,Renewed,637.0,High,49,Terminate
SUP-01157,Brown-Jones,Pharma,Jasonhaven,Small,Cleaning Agents,96.7,1.31,19.0,0,0,45,Renewed,572.41,Low,37,Renew
SUP-01158,Lopez PLC,Pharma,Torresside,Medium,Chips,92.6,2.51,13.0,4,0,12,Not Renewed,835.96,High,80,Renegotiate
SUP-01159,"Rice, Scott and Melendez",Chemicals,Gilbertfort,Small,Motors,82.4,1.47,6.0,1,1,10,Renewed,588.08,High,27,Renew
SUP-01160,Thompson-Terrell,Electronics,East Philipstad,Large,Transport Services,92.1,2.0,7.0,1,0,6,Not Renewed,639.59,Low,78,Renegotiate
SUP-01161,"Thomas, Jordan and Joseph",Electronics,Port Amanda,Small,Vaccines,,2.38,2.0,4,1,45,Not Renewed,97.85,Low,55,Renew
SUP-01162,Acosta-Tucker,Chemicals,East Alisonchester,Small,Vaccines,89.3,2.28,13.0,0,0,13,Not Renewed,615.55,Medium,25,Renew
SUP-01163,Watson-Kane,Electronics,East Margaret,Medium,Chips,90.7,2.19,12.0,2,0,18,Not Renewed,903.22,Medium,76,Renegotiate
SUP-01164,Snyder Group,Chemicals,Rogerburgh,Small,Chips,105.5,1.65,24.0,0,0,11,Not Renewed,194.81,Medium,94,Renew
SUP-01165,Williams Ltd,Logistics,Lindseyville,Small,Chips,52.5,1.49,6.0,1,1,36,Renewed,875.1,High,57,Renew
SUP-01166,"Jones, Gardner and Randolph",Logistics,Lake Alicia,Medium,Chips,96.1,2.25,2.0,0,0,12,Not Renewed,405.35,Medium,35,Renegotiate
SUP-01167,Wheeler Group,Pharma,East Matthewfort,Medium,Motors,77.2,2.58,3.0,1,0,21,Not Renewed,100.67,Medium,76,Renew
SUP-01168,Andrade-Wallace,Automotive,Port Theresaburgh,Small,Vaccines,70.9,2.8,23.0,0,0,31,Renewed,21.05,High,92,Renegotiate
SUP-01169,"Underwood, Glover and Valdez",Logistics,North Williambury,Small,Motors,78.4,0.97,,0,1,44,Not Renewed,839.57,High,86,Renew
SUP-01170,"Watson, Guerrero and Sherman",Electronics,South Michael,Small,Cleaning Agents,83.3,1.01,,1,0,21,Not Renewed,965.46,Medium,25,Renew
SUP-01171,"Miller, Rose and Fields",Automotive,South Jamie,Medium,Vaccines,95.3,1.06,1.0,0,1,24,Not Renewed,81.33,Low,70,Renegotiate
SUP-01172,"Davis, Blankenship and Graves",Chemicals,East Paulburgh,Medium,Vaccines,85.5,4.99,4.0,1,0,36,Not Renewed,552.3,Low,30,Renegotiate
SUP-01173,Poole Group,Logistics,Lake Courtney,Medium,Motors,83.5,1.48,8.0,3,1,42,Not Renewed,729.39,High,81,Renegotiate
SUP-01174,White-Thomas,Pharma,West Tracieport,Small,Transport Services,86.7,3.92,0.0,0,0,37,Not Renewed,168.98,Medium,71,Terminate
SUP-01175,Lyons-Irwin,Automotive,Garciafurt,Small,Cleaning Agents,95.9,1.95,9.0,2,0,27,Renewed,839.14,High,67,Terminate
SUP-01176,"Silva, Ball and Oneal",Logistics,Guzmanstad,Small,Vaccines,83.8,0.17,5.0,0,0,41,Renewed,476.99,High,61,Renegotiate
SUP-01177,"Murray, Wolf and Park",Logistics,Reedstad,Small,Transport Services,86.2,,13.0,1,1,23,Renewed,499.36,Medium,10,Renew
SUP-01178,"Brown, Walters and Lee",Chemicals,Port Davidchester,Large,Chips,,4.49,11.0,1,1,25,Not Renewed,940.56,Medium,11,Renegotiate
